element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,11.281250,26.906250,20.737500,0.500000,0.500000,7.327683,3.174090,5.110929,7.514858,3.299169,5.148454,1.369379,27.333333
110,11.427273,32.324242,26.229417,0.429688,0.859375,6.035152,2.983790,4.533198,8.178856,6.316608,6.830398,1.711680,46.972727
240,9.720833,26.389583,27.614791,0.468750,0.468750,5.669531,3.098115,4.329981,5.696971,3.059054,4.312569,1.584481,12.036111
500,11.097000,21.444000,28.607792,0.488281,0.488281,5.875729,3.038204,4.935040,5.978325,3.151421,4.978950,1.602079,25.500000
800,10.268750,25.729167,25.286875,0.390625,0.781250,5.807794,2.819406,4.659056,6.937027,4.597904,5.705413,1.747888,32.951250
1024,12.797038,23.559408,22.479875,0.500000,0.500000,5.958633,3.175048,4.651975,5.925800,3.373835,4.771017,1.488266,15.353841
1500,11.902667,27.675889,27.070042,0.366211,0.732422,7.409750,3.869565,4.950608,7.227452,4.358435,5.537140,1.843345,34.676000
2048,13.820964,26.309408,23.682416,0.500000,0.500000,8.650094,5.785371,5.257442,8.239679,7.025194,6.602654,1.646464,16.283040
3000,14.782389,38.222222,27.811459,0.366211,0.732422,10.560879,7.963154,10.120823,12.046375,9.636673,11.477325,1.837181,37.199111
6000,15.842556,39.785889,28.295042,0.366211,0.732422,12.119777,8.721646,10.924308,13.724181,10.408812,12.493598,1.889106,42.844889
8192,16.897441,36.404093,25.157625,0.500000,0.500000,14.358200,9.177165,11.267383,12.817015,9.136704,11.302190,1.679879,23.235758
12000,16.123833,48.701417,28.724417,0.366211,0.732422,12.532700,8.953544,11.280560,14.109167,10.493590,12.625360,3.437154,47.135417
16384,17.645935,42.160461,25.656917,0.500000,0.500000,13.033015,9.519817,11.420917,13.121967,10.134067,11.372050,3.149261,26.645243
25000,17.355280,47.541660,30.233625,0.381470,0.762939,12.881471,12.988048,19.566038,28.858725,20.965763,28.454242,6.550133,48.061107
32768,42.555918,63.076019,29.653750,0.500000,0.500000,20.183804,13.732540,21.507110,17.139333,14.552035,19.767827,4.438886,29.854258
45000,18.461574,67.004948,32.688542,0.343323,0.686646,15.862185,13.050004,20.064575,29.009552,22.394452,28.925383,5.796866,52.146296
60000,21.668986,51.299656,37.573041,0.457764,0.457764,20.639948,18.058546,27.560867,19.662073,17.213106,27.210254,5.880183,29.925928
100000,22.452080,66.264860,53.264458,0.381470,0.762939,19.655944,19.087533,27.528789,31.649471,28.864121,31.627790,6.524196,47.997083
150000,26.002407,73.969167,55.383625,0.286102,0.572205,26.576062,19.674042,36.339490,23.848389,23.747613,29.982056,7.098107,51.107129
200000,25.398750,56.496042,44.524791,0.381470,0.762939,21.000287,19.278381,28.943427,33.556512,32.111990,33.837917,6.888558,53.822500
300000,31.276111,76.754768,62.015250,0.286102,0.572205,30.271317,20.777119,40.103531,29.649133,27.524577,37.084494,7.524131,66.597362
400000,35.596216,74.136007,65.647500,0.381470,0.762939,34.994404,25.752687,44.289877,37.923317,33.399477,38.805142,7.393156,67.498888
600000,35.661806,80.955788,67.154027,0.286102,0.572205,41.392365,24.948246,53.075173,44.920867,34.626206,48.832237,7.701995,72.715463
800000,37.170295,72.266666,70.796849,0.381470,0.762939,42.708067,28.289248,49.754581,57.679052,53.266925,61.163773,7.173131,71.336545
1200000,40.557708,85.376510,72.228785,0.286102,0.572205,47.030629,25.944352,53.641550,50.406873,36.909417,59.789235,8.200735,73.736516
2200000,38.817727,94.573078,73.304848,0.262260,0.524521,48.761902,25.448396,54.962160,53.446233,36.448119,59.480554,8.100307,75.833333
3100000,40.800040,80.068367,78.079946,0.369549,0.739098,49.776504,29.366569,56.928165,71.495254,67.262425,95.737681,7.751125,75.913687
6000000,43.705483,87.446719,79.169399,0.357628,0.715256,53.516790,29.503060,58.963258,68.792396,51.618142,97.589438,7.581807,73.658225
10000000,41.559273,93.191950,77.672135,0.298023,0.596046,52.799325,26.926829,58.646442,59.516385,38.994794,71.509446,7.743679,74.884329
