element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.760417,25.171875,24.438500,0.500000,0.500000,9.577771,3.777879,6.319863,9.573927,3.761052,6.303379,1.408029,24.729167
110,12.246970,27.398485,30.714292,0.429688,0.859375,9.518369,3.407538,6.281292,13.812740,8.259685,11.341148,1.649280,40.657576
240,10.097222,23.669444,32.157166,0.468750,0.468750,8.707623,3.336033,6.163494,9.004135,3.635213,6.443310,1.624277,21.354167
500,11.403000,23.097000,34.572375,0.488281,0.488281,9.227917,3.640302,7.420533,8.880446,3.313054,6.033915,1.389450,24.889333
800,10.077917,23.029792,30.086000,0.390625,0.781250,8.679985,3.019469,5.847310,9.761965,4.532817,7.143838,1.726177,29.184167
1024,11.732422,21.802897,27.521208,0.500000,0.500000,9.328340,3.537402,6.570437,9.218315,3.522640,6.778302,1.428393,18.175130
1500,10.768333,27.597222,31.815875,0.366211,0.732422,10.159296,3.567410,6.751344,10.255960,4.691042,7.442871,1.854316,48.453556
2048,11.779867,24.023926,29.580333,0.500000,0.500000,11.133723,4.086979,7.285223,11.194315,4.046577,7.261621,1.461356,20.012858
3000,11.553278,40.805556,33.732375,0.366211,0.732422,11.485515,3.806602,7.404781,12.614398,5.306004,8.745733,1.840623,41.523000
6000,12.284722,45.716472,35.412709,0.366211,0.732422,12.132475,3.972733,7.782352,18.248648,5.752827,9.179817,1.887493,43.409722
8192,15.298625,34.531474,31.507584,0.500000,0.500000,12.754129,8.040273,8.182565,12.821315,7.888194,8.139744,1.583694,21.538656
12000,13.907972,49.289944,36.135709,0.366211,0.732422,15.947162,5.612248,7.927565,20.437598,8.593139,9.958890,2.109922,47.818278
16384,15.604655,45.601298,33.896917,0.500000,0.500000,26.779460,11.045554,14.449819,21.873923,7.985652,12.502117,1.975661,26.464701
25000,20.106940,57.023060,39.956709,0.381470,0.762939,24.465096,9.504456,21.215023,31.581940,20.156840,24.899523,4.545533,54.499453
32768,22.830541,50.271774,37.803584,0.500000,0.500000,29.734787,16.737310,21.485840,27.236296,14.918706,26.318390,3.800371,28.286418
45000,16.340270,55.333485,38.129000,0.343323,0.686646,27.660796,12.528704,26.443763,33.227125,23.631954,27.667112,5.672022,51.116978
60000,18.780553,49.850003,46.063958,0.457764,0.457764,28.935713,16.945858,28.702463,29.593087,16.816790,26.494652,5.081556,24.096989
100000,20.097917,51.515693,41.148000,0.381470,0.762939,29.890600,15.321710,29.362817,36.630902,27.200052,30.866727,6.391479,44.057500
150000,22.552593,63.399073,53.303416,0.286102,0.572205,31.893819,12.594363,30.046160,34.131435,20.569042,30.960302,7.435386,50.485278
200000,23.410138,55.385627,62.127500,0.381470,0.762939,36.137254,16.720446,44.630946,38.244833,28.021823,35.323994,6.985277,53.211945
300000,29.748890,72.947221,77.384584,0.286102,0.572205,53.166233,18.208815,46.740088,40.242183,24.204738,39.124342,7.785504,66.807917
400000,31.384132,66.988472,91.455000,0.381470,0.762939,59.024923,23.210092,49.810004,52.523242,33.429500,42.075083,7.291844,66.384757
600000,36.557685,82.406481,99.642569,0.286102,0.572205,74.167090,24.069237,67.960863,67.097187,34.293013,58.956519,7.970886,71.989560
800000,38.574705,73.030208,110.905834,0.381470,0.762939,80.031410,31.262888,76.694833,75.439185,58.470425,69.540042,7.147383,74.654045
1200000,39.617622,86.927743,104.890122,0.286102,0.572205,85.942938,26.790869,80.139650,87.133579,38.713713,77.692717,8.219585,76.255370
2200000,40.193551,98.461903,120.039981,0.262260,0.524521,90.776317,26.259488,82.935246,90.882381,40.842208,82.704735,8.316854,82.654287
3100000,42.718777,80.350181,116.060296,0.369549,0.739098,92.686200,32.238673,87.735729,108.311167,61.849981,117.866840,7.308326,76.099149
6000000,44.963198,84.922101,117.097222,0.357628,0.715256,97.362704,29.688010,87.835742,107.984808,54.394188,114.225858,7.386446,73.990868
10000000,42.419623,89.926746,111.576596,0.298023,0.596046,98.306967,29.092392,92.698358,106.945300,44.373131,103.572952,8.946467,81.525815
