element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,27.781250,54.260417,37.395833,0.500000,0.500000,10.212613,8.291704,9.181517,10.248225,8.183912,9.185556,0.631210,32.114583
110,22.915152,60.292424,34.752167,0.429688,0.859375,11.824006,7.794973,8.642754,10.713373,9.649950,9.756077,0.596843,56.687879
240,26.707639,64.467361,41.076083,0.468750,0.468750,11.942925,8.352965,8.562540,12.129435,8.551246,8.576296,0.640089,31.598611
500,27.944333,65.875000,46.410875,0.488281,0.488281,13.409337,8.452894,8.794758,15.046675,9.841871,10.561265,0.663858,49.861333
800,32.222083,56.145625,56.315792,0.781250,0.781250,16.404948,11.754537,11.368425,15.911183,11.875952,11.430810,0.726933,30.937500
1024,23.715820,61.042155,43.781625,0.500000,0.500000,15.738792,10.529279,11.093327,16.055008,10.518842,11.203804,0.724006,25.485352
1500,27.773000,56.439889,50.746458,0.732422,0.732422,17.383571,13.513321,12.568110,17.453442,13.544194,12.496171,0.729270,30.074000
2048,25.383870,64.253092,49.885750,0.500000,0.500000,16.914281,12.312946,12.628648,16.920690,12.302256,12.777331,0.750832,27.031738
3000,30.842611,57.081000,67.700166,0.732422,0.732422,19.239956,14.802267,15.310069,19.457512,14.877825,15.131356,0.767553,31.939889
6000,31.114583,59.515083,122.132709,0.732422,0.732422,20.197335,15.900960,20.333646,20.164035,15.865321,19.756725,0.773560,29.708333
8192,25.931478,69.298645,73.289084,0.500000,0.500000,18.316892,14.521090,20.197346,18.302967,14.476963,19.681762,0.803750,26.585897
12000,32.484944,60.897569,98.282459,0.732422,0.732422,21.139046,17.100569,26.337946,21.132088,17.005683,26.018598,0.774749,31.468722
16384,27.790059,72.340230,148.816041,0.500000,0.500000,20.393667,16.750073,24.989340,19.838825,16.593031,25.757785,0.824387,29.123962
25000,33.468613,61.080273,217.611958,0.762939,0.762939,23.462871,19.149050,29.765427,23.506587,19.452535,29.822229,0.765865,35.673333
32768,28.438568,70.905472,156.913666,0.500000,0.500000,20.711246,17.929233,27.567594,20.865681,17.867565,27.021327,0.829939,34.538696
45000,34.980096,67.069596,210.374042,0.686646,0.686646,23.434165,19.625202,31.042446,23.407021,19.471450,30.989985,0.783537,36.219452
60000,30.823614,78.371758,228.668583,0.457764,0.457764,21.190646,18.166683,27.908810,22.714315,21.231467,30.083858,0.864615,43.305783
100000,45.819447,74.952637,158.913167,0.762939,0.762939,30.777013,23.746636,35.678485,30.191431,23.573892,35.984373,0.772698,44.459997
150000,44.447036,83.467038,183.519542,0.572205,0.572205,54.314406,37.066879,58.443610,59.635696,43.894440,50.936890,0.818555,50.118980
200000,53.180070,83.470347,199.835959,0.762939,0.762939,73.889315,53.901262,71.826254,74.028442,53.575823,65.692940,0.773081,55.228820
300000,60.292453,104.033936,221.967000,0.572205,0.572205,90.059442,67.756458,86.771817,89.565285,70.174254,87.080737,0.816996,66.130371
400000,73.247709,104.992952,237.292500,0.762939,0.762939,98.603006,76.944802,93.917223,98.935875,77.808281,93.988323,0.768602,72.838611
600000,72.973287,136.433820,246.179618,0.572205,0.572205,107.622671,78.808746,99.560506,104.419769,81.048460,99.344144,0.816951,73.864953
800000,88.245747,133.103473,260.702266,0.762939,0.762939,113.665875,89.060025,104.943985,114.057723,88.923790,111.328940,0.792690,95.227830
1200000,89.928055,164.970070,273.427743,0.572205,0.572205,113.839158,84.744548,106.521358,111.530594,85.531421,106.420854,0.823985,83.995694
2200000,85.551411,188.951506,282.644678,0.524521,0.524521,113.556863,84.742688,107.442142,112.964890,84.557815,107.505304,0.830170,84.983851
3100000,104.423918,174.787930,293.587426,0.739098,0.739098,123.713473,97.138119,114.840198,125.343306,96.291156,114.468029,0.800338,110.161223
6000000,114.026278,202.457979,318.595024,0.715256,0.715256,133.082733,103.261342,116.428260,126.502998,97.892962,116.218281,0.794370,109.406125
10000000,101.815646,208.040054,299.455198,0.596046,0.596046,123.350402,92.759792,115.854704,122.587263,93.461592,114.727119,0.821873,100.400943
