element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,30.171875,166.890625,47.764042,0.500000,0.500000,1.684954,1.694840,1.672640,1.694677,1.691625,1.671863,2.105427,68.135417
110,36.613636,166.475758,51.524000,0.429688,0.859375,1.653423,1.676713,1.671904,1.652015,1.683225,1.671477,2.305844,119.442424
240,36.661111,156.973611,57.198750,0.468750,0.468750,1.617098,1.631252,1.635296,1.624519,1.635460,1.637223,2.231353,50.752778
500,24.361000,161.083333,61.161542,0.488281,0.488281,1.360815,1.337900,1.427537,1.348462,1.364431,1.443398,2.224346,32.250667
800,20.972083,199.166458,44.786000,0.390625,0.781250,1.326565,1.463125,1.306331,1.334079,1.505898,1.340319,2.505977,118.576250
1024,21.443685,144.287272,63.578250,0.500000,0.500000,1.367104,1.459748,1.461475,1.435040,1.571923,1.494552,2.426682,43.443359
1500,21.796222,203.421333,46.749375,0.366211,0.732422,1.362210,1.307662,1.285898,1.332140,1.410198,1.534846,2.671537,111.463111
2048,28.981445,190.656901,68.018542,0.500000,0.500000,1.471527,1.556231,1.426310,1.395617,1.502244,1.566933,2.181133,42.575195
3000,23.726889,205.291722,51.020583,0.366211,0.732422,1.794831,1.859642,1.883237,1.476548,1.511506,1.348031,2.539661,119.328778
6000,25.408583,213.687472,55.734208,0.366211,0.732422,1.846385,1.845808,1.863019,1.727983,1.760583,1.720900,2.777990,184.314778
8192,30.865133,204.922994,81.789292,0.500000,0.500000,1.953435,1.948981,1.925340,1.958450,1.791765,1.792219,2.350255,75.029175
12000,30.472222,238.600111,75.071042,0.366211,0.732422,1.891319,2.004617,1.843204,1.932083,1.826294,1.724844,2.864896,148.380778
16384,36.216319,220.466197,206.381000,0.500000,0.500000,1.747054,1.864279,1.823587,1.794883,1.765150,1.850450,3.510450,42.159200
25000,31.760280,448.929447,77.923292,0.381470,0.762939,1.858640,1.883246,1.818296,1.731869,1.761773,1.847779,4.555360,153.768893
32768,39.316391,477.498586,250.893333,0.500000,0.500000,2.131169,2.122333,1.919796,1.899894,1.885967,1.941700,4.916446,48.172852
45000,46.092433,885.233952,74.463416,0.343323,0.686646,2.095140,2.100640,4.657119,1.823431,1.829800,2.699094,6.358414,155.485815
60000,36.431136,573.738072,137.471583,0.457764,0.457764,2.101948,2.112158,5.154035,2.117298,2.141715,6.407196,6.499085,96.326383
100000,44.725693,838.122500,92.967291,0.381470,0.762939,2.340952,2.358206,7.094096,2.102496,2.113508,6.082769,8.415673,180.640833
150000,259.165000,609.395093,1600.363834,0.572205,0.572205,2.344519,2.339635,7.648677,2.317419,2.351950,7.809048,6.482964,168.827871
200000,84.712153,927.839653,95.246334,0.381470,0.762939,2.484148,2.491404,9.003208,2.321933,2.322660,8.250385,8.601781,203.080557
300000,101.112871,935.954212,1510.425541,0.572205,0.572205,2.488975,2.483740,8.727735,2.487925,2.508448,8.832519,6.838758,60.739908
400000,144.613333,923.438230,155.505584,0.381470,0.762939,3.236471,3.106671,9.347831,2.512046,2.521762,9.149013,8.693212,299.149097
600000,149.582848,792.293380,1859.709271,0.572205,0.572205,3.215785,3.177790,9.622598,3.248858,3.185402,9.608192,6.986375,91.543078
800000,132.792188,1061.487726,307.495261,0.381470,0.762939,8.403779,8.179140,13.585646,3.302523,3.240773,9.726115,9.001198,333.507951
1200000,400.905451,851.236823,1747.800903,0.572205,0.572205,8.429706,8.180192,13.915435,8.388033,8.229552,13.834298,7.179036,127.008959
2200000,237.548542,983.817557,670.612168,0.524521,0.524521,10.216688,10.220002,16.174148,10.289740,10.450500,15.749152,7.787775,161.528365
3100000,241.541956,1245.479543,340.921216,0.369549,0.739098,11.464981,11.208694,17.208206,10.564000,10.322810,16.168706,9.307705,452.447939
6000000,203.376983,1578.759701,336.942337,0.357628,0.715256,12.770431,13.400398,18.791327,11.311848,11.144717,17.263469,9.378505,590.139972
10000000,1228.775604,1921.524623,0.000000,0.596046,0.596046,13.706265,12.789621,18.621092,13.203477,12.842944,18.596810,6.446388,174.839744
