element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,29.947917,164.062500,48.616250,0.500000,0.500000,1.782152,1.771038,1.774054,1.810037,1.807504,1.771075,2.192225,64.677083
110,35.227273,170.518182,51.982167,0.429688,0.859375,1.653583,1.667150,1.663196,1.651596,1.667206,1.669108,2.182199,117.300000
240,36.400694,156.104861,57.367416,0.468750,0.468750,1.613008,1.629381,1.633392,1.614252,1.648771,1.630842,2.170631,50.462500
500,32.014000,141.486000,61.391333,0.488281,0.488281,1.329675,1.454071,1.341915,1.355892,1.441206,1.339935,2.175385,41.722000
800,21.154167,180.494792,44.744209,0.390625,0.781250,1.298204,1.413535,1.301946,1.295010,1.466394,1.424285,2.467508,110.468750
1024,22.942546,172.491862,64.641708,0.500000,0.500000,1.360823,1.447390,1.368517,1.387225,1.476435,1.372915,2.128406,41.951497
1500,36.963111,200.074000,45.353583,0.366211,0.732422,1.280329,1.424685,1.277329,1.268744,1.476252,1.272271,2.527324,132.287111
2048,27.770915,147.640788,67.945750,0.500000,0.500000,1.358356,1.528396,1.384150,1.340619,1.548519,1.362352,2.167019,32.836751
3000,23.627333,219.861167,49.041875,0.366211,0.732422,1.762810,1.867510,1.870494,1.301890,1.616867,1.522379,2.522080,111.458444
6000,28.512722,228.291694,52.475542,0.366211,0.732422,1.782775,1.793717,1.798935,1.661775,1.655625,1.664227,2.661182,125.877278
8192,28.608541,190.341512,76.137083,0.500000,0.500000,1.754852,1.818110,1.782233,1.803117,1.809898,1.816735,2.215172,38.908244
12000,29.726847,236.178819,70.221541,0.366211,0.732422,1.741277,1.775781,1.803267,1.712187,1.711731,1.647733,2.629991,133.259278
16384,33.704132,206.908752,206.142583,0.500000,0.500000,1.721644,1.744219,1.832412,1.776787,1.757854,1.792329,3.203956,40.730774
25000,31.185000,494.583613,78.972209,0.381470,0.762939,1.845844,1.860467,1.813660,1.738148,1.714265,1.804025,6.578158,164.414440
32768,35.200541,372.073283,231.028375,0.500000,0.500000,1.869735,1.856115,1.865021,1.834646,1.866573,1.823304,4.574018,44.925252
45000,39.368826,778.221763,69.393042,0.343323,0.686646,2.091319,2.126025,4.470933,1.899838,1.848667,3.186050,6.697948,153.608022
60000,36.414467,597.129050,135.611084,0.457764,0.457764,2.094969,2.105590,5.083083,2.106479,2.124996,4.660754,6.910955,51.801383
100000,63.781250,802.868333,82.597125,0.381470,0.762939,2.342552,2.360092,7.843829,2.103808,2.104571,6.093740,8.335000,186.674167
150000,86.531389,710.192962,1599.758083,0.572205,0.572205,2.599065,2.356800,7.676919,2.337906,2.346358,8.008215,5.968624,99.514073
200000,63.418472,887.883472,94.834583,0.381470,0.762939,2.505906,2.478394,8.693973,2.321827,2.325946,8.185062,8.402567,267.898055
300000,180.619953,786.712221,1616.364083,0.572205,0.572205,2.473425,2.681440,8.966012,2.468958,2.475973,8.933096,6.495558,215.405880
400000,112.835868,984.491945,168.286792,0.381470,0.762939,3.235633,3.180606,9.539369,2.517012,2.532763,9.461354,8.765660,267.541389
600000,156.367917,857.859861,0.000000,0.572205,0.572205,3.336423,3.267767,9.996760,3.363967,3.274373,9.798217,6.867864,98.098449
800000,135.247413,1073.309757,0.000000,0.381470,0.762939,8.437860,8.379608,14.049321,3.390987,4.067958,9.757702,9.144681,368.693872
1200000,463.714549,972.437743,0.000000,0.572205,0.572205,8.583638,8.260225,13.971329,8.491246,8.292227,14.105879,6.695329,130.639386
2200000,444.068722,1135.098740,0.000000,0.524521,0.524521,10.345154,10.260800,16.072054,10.392642,10.359192,15.934146,7.997955,166.517570
3100000,246.450618,1267.290887,0.000000,0.369549,0.739098,11.343190,11.312806,17.236529,10.378290,10.601719,16.146127,9.338871,471.575995
6000000,256.926597,1846.560934,0.000000,0.357628,0.715256,13.049335,12.816373,18.954683,11.442327,11.503579,17.662083,9.425017,535.288155
10000000,1253.814550,2014.600250,0.000000,0.596046,0.596046,12.860260,12.852771,18.917958,12.828458,12.917019,18.911233,6.500408,176.041144
