element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,46.010417,252.166667,86.808125,0.500000,0.500000,7.778379,3.486533,5.346433,7.769806,3.634419,5.350573,5.782325,131.520833
110,56.881818,267.674242,94.911791,0.429688,0.859375,6.492438,3.594296,4.917344,6.556198,3.604377,4.927231,7.234680,216.918182
240,52.950000,249.190278,103.366375,0.468750,0.468750,6.463262,3.418315,4.640496,6.378396,3.427262,4.651044,6.561154,74.073611
500,38.694333,340.111000,105.549375,0.488281,0.488281,6.384019,3.373110,4.870183,6.435915,3.371223,4.845312,6.226069,46.416000
800,34.739375,333.160000,84.067250,0.390625,0.781250,6.511952,3.363644,5.106592,6.647702,3.327658,4.835360,8.974273,221.458333
1024,35.169759,306.911947,114.514833,0.500000,0.500000,7.079460,3.330600,4.874313,7.058175,3.345708,4.838410,6.300371,49.560547
1500,38.842667,356.439778,89.777459,0.366211,0.732422,9.471767,3.806473,5.189477,8.272425,3.535144,4.824400,10.013264,227.814667
2048,44.555583,349.077148,117.807458,0.500000,0.500000,9.814787,4.079765,5.983281,11.268419,6.672844,6.200117,6.813626,50.259115
3000,39.541556,416.888889,91.312833,0.366211,0.732422,11.303944,7.598908,10.035560,10.553152,6.172733,8.351477,11.741730,283.176000
6000,70.697972,406.768500,93.997291,0.366211,0.732422,12.261810,8.199558,10.406327,12.071737,8.231461,10.245465,11.623088,311.944444
8192,47.409892,335.587362,128.199291,0.500000,0.500000,12.263104,8.211937,10.628900,12.233046,8.283496,10.460575,8.936629,186.613241
12000,46.809611,482.460069,125.842208,0.366211,0.732422,12.196523,8.261052,10.565827,12.227065,8.245046,10.574583,13.111401,286.392361
16384,56.065440,387.268483,308.282750,0.500000,0.500000,12.279758,8.148819,10.618483,12.247344,8.183888,10.622094,9.905753,64.557373
25000,48.946953,977.922773,138.308125,0.381470,0.762939,13.540990,8.774390,14.750404,12.455906,8.645623,10.994540,13.240396,289.720560
32768,214.489192,954.952876,328.081959,0.500000,0.500000,13.279412,8.977879,16.607108,13.561227,9.152140,14.887135,11.097098,65.549632
45000,98.588270,1378.941978,130.330500,0.343323,0.686646,15.038300,9.816450,19.849548,13.484650,9.051433,12.275190,15.293169,331.873148
60000,105.134256,1100.671881,213.238500,0.457764,0.457764,14.602483,10.221552,15.307577,14.539781,10.181888,20.613950,12.521218,123.139344
100000,66.045417,1375.481247,181.438208,0.381470,0.762939,15.479692,11.205848,22.013227,15.179015,10.488679,24.828075,14.739819,307.243610
150000,472.430929,1171.279536,2276.161459,0.572205,0.572205,15.923650,11.303871,23.135244,15.708102,11.708042,22.876694,10.665357,607.699629
200000,91.219095,1562.049305,200.444916,0.381470,0.762939,17.229408,11.421719,24.610744,15.960821,11.800856,24.986708,15.012294,388.367848
300000,265.730092,1136.580184,2085.603709,0.572205,0.572205,16.696179,12.428096,25.299908,17.944577,12.126435,26.260642,10.963729,317.798288
400000,170.503472,1365.253056,291.804708,0.381470,0.762939,27.326844,16.067490,33.115313,16.989319,12.675852,26.752873,15.063635,550.864583
600000,431.298218,1278.577291,2401.721875,0.572205,0.572205,29.690323,17.350489,32.945573,28.383394,17.421806,32.681802,10.537837,132.185741
800000,284.862552,1513.174722,373.015131,0.381470,0.762939,37.439560,20.809348,39.097746,30.245035,20.015885,38.669002,15.533196,652.983697
1200000,648.046493,1646.439722,3557.410365,0.572205,0.572205,40.880258,23.034065,44.217198,41.164352,22.760615,43.909758,11.783768,314.916516
2200000,484.689839,1694.525312,1114.447623,0.524521,0.524521,42.966950,23.257054,43.820679,42.830742,22.888942,44.889123,11.944000,204.027127
3100000,472.789388,1717.190289,515.085094,0.369549,0.739098,46.469921,23.526913,45.292267,43.348215,22.866865,44.989581,15.347638,766.164583
6000000,266.293059,2390.804715,501.535646,0.357628,0.715256,50.494648,27.433962,49.212456,46.870769,23.848517,47.828777,15.763896,824.176435
10000000,657.018194,2186.947973,0.000000,0.596046,0.596046,50.442725,27.896504,51.692517,50.369606,26.217217,48.676406,10.858931,536.702293
