element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,37.765625,157.552083,47.893791,0.500000,0.500000,1.693931,1.683223,1.666604,1.693235,1.686265,1.675396,2.149656,73.781250
110,36.615152,161.680303,51.663250,0.429688,0.859375,1.652808,1.687344,1.666015,1.655106,1.667085,1.671125,2.282244,120.957576
240,35.938194,193.287500,57.767333,0.468750,0.468750,1.631517,1.649796,1.638937,1.618748,1.653629,1.634833,2.146643,50.291667
500,24.763333,181.888333,60.636041,0.488281,0.488281,1.348044,1.395731,1.337471,1.350358,1.464858,1.339371,2.214217,33.333333
800,21.545000,165.138958,44.538709,0.390625,0.781250,1.330815,1.463188,1.300412,1.330573,1.423606,1.387942,2.465896,131.336667
1024,22.962565,143.283854,63.478917,0.500000,0.500000,1.381500,1.461737,1.301821,1.409823,1.478442,1.402273,2.114294,48.868815
1500,23.453444,181.319333,45.929750,0.366211,0.732422,1.352815,1.495975,1.275458,1.312254,1.429317,1.283917,2.600178,117.203778
2048,23.264404,151.736898,67.057375,0.500000,0.500000,1.368796,1.325925,1.359865,1.390402,1.402504,1.519946,2.195451,47.315755
3000,23.199111,205.747722,48.957542,0.366211,0.732422,1.789362,1.828352,1.871744,1.462138,1.536571,1.521377,2.524057,117.041667
6000,25.456028,249.645806,53.041208,0.366211,0.732422,1.734094,1.732394,1.694631,1.640017,1.639654,1.637877,2.565470,127.185222
8192,33.893188,191.057861,75.683500,0.500000,0.500000,1.844775,1.944702,1.853779,1.773777,1.763767,1.792763,2.242228,39.104899
12000,48.858222,243.034139,69.116000,0.366211,0.732422,1.716690,1.739142,1.807335,1.744477,1.696556,1.758629,2.756007,135.711806
16384,58.016042,218.502899,209.441584,0.500000,0.500000,1.698542,1.746550,1.818956,1.719723,1.764998,1.750387,3.520817,42.815308
25000,32.120833,504.640280,76.368750,0.381470,0.762939,1.844323,1.853231,1.845290,1.713777,1.727121,1.821204,6.621154,165.896107
32768,56.182861,406.553686,225.244750,0.500000,0.500000,1.845027,1.856225,1.900560,1.860983,1.857363,1.828931,4.672773,45.992961
45000,38.758641,701.608019,74.257042,0.343323,0.686646,2.084821,2.079775,3.925723,1.867717,1.848410,3.101696,6.742110,161.038274
60000,35.913075,588.193167,141.666958,0.457764,0.457764,2.085781,2.101096,5.064250,2.072460,2.103881,4.965792,7.024129,66.099772
100000,60.913613,875.978050,93.883417,0.381470,0.762939,2.329748,2.344325,6.483223,2.105973,2.112167,6.116494,8.355337,174.921803
150000,180.590831,738.424538,1446.667042,0.572205,0.572205,2.333392,2.344179,8.310798,2.335404,2.336229,7.924298,6.395556,52.144909
200000,62.031597,797.339930,95.712458,0.381470,0.762939,2.472773,2.476288,8.535013,2.313292,2.314613,8.164529,8.624254,191.985278
300000,251.316436,742.906851,1740.067250,0.572205,0.572205,2.456050,2.472706,9.219479,2.481017,2.474800,8.776146,6.639250,293.462083
400000,112.154721,944.051111,211.443458,0.381470,0.762939,3.258321,3.134327,9.614608,2.523038,2.524090,9.146437,8.866556,228.304167
600000,369.807408,827.123796,1740.736250,0.572205,0.572205,3.713054,3.261525,9.777085,3.544423,3.485685,11.332956,6.609498,100.458241
800000,138.109670,1336.650121,251.079323,0.381470,0.762939,8.689931,9.168440,14.234542,3.389181,3.321723,9.755415,9.424833,344.608281
1200000,271.049896,1036.783993,1696.403472,0.572205,0.572205,9.557744,9.331721,14.961813,9.251121,10.056712,15.992081,7.131256,487.915926
2200000,436.045540,1174.725303,756.902879,0.524521,0.524521,11.201700,11.071535,16.797869,10.953179,11.130815,16.781827,7.903773,181.474533
3100000,271.922695,1680.245188,344.327009,0.369549,0.739098,11.912319,11.535619,17.406258,10.438550,10.551919,16.184531,9.323543,562.911160
6000000,359.647257,1742.188264,342.668701,0.357628,0.715256,12.865798,12.898152,18.722021,11.257621,11.344169,17.292935,9.397038,527.607905
10000000,982.097850,2247.057642,0.000000,0.596046,0.596046,12.758700,12.848598,18.901181,12.877681,14.489813,20.592088,6.775002,182.195435
