element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,62.723958,255.640625,90.067667,0.500000,0.500000,9.750306,4.365242,6.961315,9.773875,4.397642,6.937963,1.990798,103.291667
110,52.460606,262.878788,96.174417,0.429688,0.859375,9.628625,4.571229,6.995690,9.649198,4.690087,7.029506,2.009756,224.366667
240,61.893056,249.913194,104.115458,0.468750,0.468750,9.664902,4.426192,7.093298,9.654831,4.433671,7.086200,1.996457,70.661111
500,44.930333,263.722000,110.672583,0.488281,0.488281,9.123742,4.369331,7.075012,9.228392,4.361471,6.707256,2.059200,53.388667
800,41.961875,322.205000,92.924000,0.390625,0.781250,10.418025,4.363479,7.086454,9.908804,4.485485,7.074071,2.271798,265.399583
1024,45.993164,274.278320,126.313292,0.500000,0.500000,11.047333,4.387381,8.033404,11.327960,4.386850,7.950742,2.001086,60.316406
1500,80.088000,439.097333,95.570375,0.366211,0.732422,12.361012,4.495381,8.565802,12.092669,5.179685,8.495369,2.331656,371.027556
2048,56.840658,352.189697,132.703042,0.500000,0.500000,13.060125,5.221550,9.144163,12.719058,5.618577,9.155444,2.031514,69.179850
3000,75.182833,550.553333,100.603250,0.366211,0.732422,12.961133,5.457696,9.449435,12.990119,5.546663,9.454683,2.319267,326.162000
6000,53.065944,507.587944,109.365416,0.366211,0.732422,13.915192,5.992267,9.779148,13.526767,5.760129,9.583444,2.476009,278.037000
8192,65.473755,374.316752,149.044542,0.500000,0.500000,14.678090,6.909871,9.690648,13.585388,5.850779,9.873204,3.332196,71.687459
12000,60.186319,446.554389,139.491750,0.366211,0.732422,14.587156,6.304444,10.190340,14.785756,6.754135,12.411390,3.569563,295.452556
16384,68.574707,402.353495,345.023541,0.500000,0.500000,18.079950,7.112275,11.330698,19.581454,7.035371,11.291731,2.132504,72.457214
25000,60.485287,825.645260,169.367958,0.381470,0.762939,18.942019,15.365350,15.966319,21.923915,7.480158,15.266702,5.779481,433.068880
32768,67.180842,855.982895,336.758250,0.500000,0.500000,20.536842,15.420606,21.402273,22.012838,17.348854,25.853450,6.675217,104.821523
45000,77.044752,1472.571448,184.293667,0.343323,0.686646,24.375971,12.454471,24.045756,24.691846,14.099833,24.228415,8.460439,319.980244
60000,168.877886,1095.925117,272.008250,0.457764,0.457764,26.898175,16.826235,27.709752,25.716381,17.871096,25.344554,7.696068,153.989356
100000,79.961247,1434.813607,274.302208,0.381470,0.762939,29.748615,18.021787,27.956552,27.459292,14.430808,29.322546,9.316846,354.667777
150000,255.160093,1080.887500,2491.631542,0.572205,0.572205,35.981325,19.736906,31.142235,33.968169,19.807396,32.297213,6.299080,100.878889
200000,274.921043,1454.611805,428.532750,0.381470,0.762939,47.855190,19.576296,37.773942,37.537104,15.626069,34.068508,8.796702,453.370835
300000,165.993658,985.096390,2580.260458,0.572205,0.572205,63.686792,22.272440,49.036106,55.155192,20.872079,44.198335,6.377550,107.155323
400000,135.406563,2213.150069,467.772333,0.381470,0.762939,71.432260,21.626358,60.391079,69.368485,20.809185,53.006544,9.110415,526.228959
600000,448.507477,1421.494028,0.000000,0.572205,0.572205,82.030485,27.829748,64.431738,81.336946,28.978385,68.545800,6.622357,512.502986
800000,214.061406,1666.343281,0.000000,0.381470,0.762939,86.739750,30.197871,71.837779,83.007358,25.866173,66.175577,9.578838,717.339410
1200000,564.978768,1811.862292,0.000000,0.572205,0.572205,88.208856,33.335150,71.895923,89.134219,33.372921,71.872558,6.577275,581.502535
2200000,537.358826,2645.400530,0.000000,0.524521,0.524521,94.749283,36.528392,70.994892,86.668406,34.656479,69.726137,7.701523,377.669703
3100000,264.405114,2554.345114,0.000000,0.369549,0.739098,91.561096,32.741112,72.156087,86.396860,30.435708,70.942058,9.435553,816.119507
6000000,354.481115,3048.382830,0.000000,0.357628,0.715256,102.793421,39.219583,90.418783,95.124762,31.261804,70.632113,9.312142,806.169692
10000000,674.328398,2707.430510,0.000000,0.596046,0.596046,103.062950,41.742183,88.772150,102.856848,41.510079,87.880531,6.075798,1190.080358
