element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,41.666667,182.723958,43.441541,0.500000,0.500000,1.549950,1.472810,1.537260,1.563129,1.473619,1.537813,2.608427,76.395833
110,39.834848,151.766667,49.352834,0.429688,0.859375,1.745577,1.395929,1.513600,1.730279,1.627498,1.555525,3.411008,114.142424
240,33.593750,153.586806,53.663625,0.468750,0.468750,1.530969,1.405679,1.492854,1.538744,1.403904,1.497600,3.317930,48.726389
500,24.583000,131.083333,57.362792,0.488281,0.488281,1.686773,1.423427,1.489788,1.696910,1.443179,1.543954,2.699238,32.000000
800,23.611250,165.199583,41.092500,0.390625,0.781250,1.459154,1.393787,1.484633,1.665277,1.506940,1.538471,3.726785,114.826667
1024,22.901367,131.768066,59.748541,0.500000,0.500000,1.660656,1.412117,1.504265,1.682442,1.382221,1.507377,3.281509,32.253581
1500,25.097222,190.537000,41.154042,0.366211,0.732422,1.695292,1.397094,1.487848,1.685812,1.546198,1.532283,3.876117,108.185111
2048,30.758382,158.030111,63.209417,0.500000,0.500000,1.713777,1.445477,1.509069,1.686465,1.433175,1.537842,3.314035,61.876139
3000,25.349556,242.736000,44.521667,0.366211,0.732422,1.865144,1.452106,1.696298,1.703535,1.539731,1.569656,3.892949,109.472111
6000,27.931778,236.458361,47.105833,0.366211,0.732422,1.926860,2.676783,1.621533,1.741348,2.073510,1.596960,3.899983,123.150500
8192,30.832052,203.665833,71.640541,0.500000,0.500000,1.895463,3.645202,1.669610,1.927058,2.505562,1.606754,3.324417,39.803385
12000,31.030681,226.239583,64.405750,0.366211,0.732422,1.969867,3.076762,1.622640,1.932042,2.004279,1.637363,3.925102,133.825222
16384,36.574453,196.184387,208.087625,0.500000,0.500000,2.009552,4.647967,1.613198,2.019304,5.034598,1.593717,3.377818,42.002360
25000,31.931673,294.633060,72.882291,0.381470,0.762939,2.295119,4.501860,2.324423,1.987800,2.724750,1.686092,7.557852,152.072773
32768,42.534307,255.809148,224.887042,0.500000,0.500000,2.270365,6.023748,3.267377,2.264981,5.787410,2.755056,6.052164,47.441681
45000,36.279622,498.884259,73.285000,0.343323,0.686646,2.550981,4.938100,5.299221,2.186704,4.140248,2.146027,7.623429,162.378696
60000,38.743286,421.829397,131.193375,0.457764,0.457764,2.529110,6.883567,5.982960,2.510354,6.797727,5.559138,8.097605,51.649300
100000,58.934443,704.234027,77.863125,0.381470,0.762939,2.653769,6.377523,6.146904,2.491660,4.482233,5.773802,8.842894,177.590417
150000,71.936760,628.652224,1496.272917,0.572205,0.572205,2.698148,6.801354,7.318150,2.729479,6.910650,7.295702,7.065172,87.205371
200000,69.634582,626.391667,91.300667,0.381470,0.762939,2.846469,6.520356,7.756342,2.699952,4.985119,7.712927,9.430988,184.606112
300000,87.942453,729.618934,1298.694708,0.572205,0.572205,2.853112,7.271448,8.048135,2.805121,7.262315,8.182242,7.245512,58.885974
400000,94.127674,704.471910,144.035792,0.381470,0.762939,3.717821,6.955540,8.082017,2.866304,5.293260,8.326123,9.325629,234.291562
600000,122.238588,864.965671,1544.921771,0.572205,0.572205,3.710298,7.648535,8.339600,3.746127,7.768419,8.334138,7.545739,82.955672
800000,125.150052,927.641892,295.327239,0.381470,0.762939,9.455896,7.324969,9.988773,3.880010,5.424544,8.548785,9.430300,323.469583
1200000,226.550850,856.216580,1560.820903,0.572205,0.572205,9.050181,7.987194,10.083838,9.358896,7.983202,9.949888,7.720835,115.800833
2200000,235.511695,909.404470,708.055265,0.524521,0.524521,10.826890,8.594881,10.957721,10.831623,8.578925,10.928842,8.758400,229.341534
3100000,193.268367,1388.736008,335.198622,0.369549,0.739098,12.035973,7.616154,11.616746,11.250390,6.206833,10.969410,9.789555,448.255076
6000000,210.832135,2607.074458,346.413955,0.357628,0.715256,17.534575,9.765271,17.565881,12.025200,6.825254,12.201617,9.956411,516.795257
10000000,1361.913073,2226.163983,0.000000,0.596046,0.596046,16.343925,11.633852,18.102863,16.456817,10.587606,17.617923,7.284448,176.742347
