element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,32.776042,157.765625,42.751375,0.500000,0.500000,1.553677,1.449246,1.518408,1.553625,1.448498,1.521190,2.718342,67.708333
110,30.366667,160.163636,47.136083,0.429688,0.859375,1.741196,1.419046,1.546262,1.761773,1.614254,1.743802,3.463116,113.760606
240,31.222222,135.938194,52.247875,0.468750,0.468750,1.614581,1.424215,1.518412,1.534567,1.425552,1.517917,3.309203,47.916667
500,26.610667,149.208333,56.940041,0.488281,0.488281,1.645840,1.433388,1.504796,1.713296,1.438012,1.504819,3.280308,32.777333
800,20.000000,150.867917,40.456083,0.390625,0.781250,1.697610,1.399160,1.469352,1.658410,1.538204,1.540377,3.724792,131.492917
1024,21.810059,132.445964,60.257042,0.500000,0.500000,1.669748,1.436508,1.502092,1.644142,1.435369,1.502481,3.258546,32.348633
1500,22.833222,166.791556,41.957459,0.366211,0.732422,1.782471,1.430538,1.577171,1.660656,1.566160,1.507387,3.860082,110.296222
2048,35.051188,145.470378,64.202958,0.500000,0.500000,1.796546,1.432369,1.606642,1.776206,1.501460,1.622240,3.307165,33.270996
3000,22.831000,195.810111,43.771167,0.366211,0.732422,1.938081,1.583685,1.702202,1.692694,1.560494,1.575194,3.856603,111.361222
6000,38.208361,210.344861,47.518166,0.366211,0.732422,1.931496,2.059215,1.638950,1.865796,2.110765,1.594162,3.883425,123.803278
8192,29.434184,179.538269,71.030667,0.500000,0.500000,1.934575,2.974646,1.636258,1.923729,2.456833,1.606208,3.321636,41.183472
12000,32.086250,222.992472,65.026417,0.366211,0.732422,1.972456,3.031956,1.613794,1.907267,2.085633,1.642219,3.895554,132.677056
16384,53.673645,204.566121,206.689625,0.500000,0.500000,1.997615,5.088173,1.820019,1.984317,4.914621,1.627248,5.292371,43.317159
25000,33.617220,464.884720,72.058208,0.381470,0.762939,2.231642,4.032665,2.182804,1.961629,2.764346,1.670875,4.336302,203.604453
32768,36.527425,427.106654,225.193458,0.500000,0.500000,2.288154,5.721231,2.933348,2.240690,5.696552,2.705796,6.019494,46.824554
45000,39.875152,699.276696,71.203416,0.343323,0.686646,2.508508,5.139679,5.363498,2.208608,4.086915,1.983277,7.510233,151.095370
60000,38.081367,575.645836,128.396542,0.457764,0.457764,2.553435,6.757596,3.311546,2.530227,6.735735,5.483123,7.803597,52.454628
100000,91.561110,708.170417,89.820958,0.381470,0.762939,2.698852,6.147052,7.174198,2.525998,4.536733,5.787525,9.033229,180.706107
150000,92.264351,604.117222,1408.088792,0.572205,0.572205,2.707279,6.899396,7.313115,2.637227,6.842473,7.130350,7.070547,51.646298
200000,92.889443,791.934723,92.285542,0.381470,0.762939,2.856417,6.579604,7.723808,2.703873,5.003673,7.730879,9.043740,192.527013
300000,326.269953,820.397269,1414.849583,0.572205,0.572205,2.808523,7.177627,8.147177,2.852325,7.199271,8.129806,7.396387,214.997083
400000,82.460104,790.236527,145.588959,0.381470,0.762939,3.670956,7.063013,8.340402,2.843931,5.252252,8.299683,9.356262,375.401318
600000,132.452269,812.475185,1806.070000,0.572205,0.572205,3.712377,7.556998,8.390121,3.858260,7.533660,8.424300,7.517823,86.654329
800000,124.814740,1023.528767,221.477109,0.381470,0.762939,9.378265,7.293200,10.102429,3.776235,5.436929,8.518662,9.519906,340.318385
1200000,379.226875,993.475903,1795.896163,0.572205,0.572205,8.942817,7.956823,10.240121,9.095708,7.866171,10.422615,7.613570,115.120614
2200000,237.983532,1016.157765,731.083049,0.524521,0.524521,10.867825,8.591727,11.048848,10.804763,8.593035,11.020479,8.674299,159.713971
3100000,243.823642,1339.097702,333.202507,0.369549,0.739098,12.054208,7.899983,11.836608,10.813108,6.535925,11.357683,10.127594,506.613172
6000000,255.155160,1658.967045,458.826045,0.357628,0.715256,16.215506,10.582260,17.376629,12.012971,6.827508,12.119396,10.104738,618.267949
10000000,1120.583473,2043.459677,0.000000,0.596046,0.596046,16.400831,10.488544,17.589773,16.253862,10.519006,17.624535,7.197575,445.123144
