element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,52.302083,257.380208,78.804583,0.500000,0.500000,6.741919,5.956483,5.546271,6.742446,5.905737,5.550996,1.988250,87.687500
110,55.177273,339.836364,83.074167,0.429688,0.859375,6.768204,9.894098,5.531119,6.762958,6.928256,5.580402,1.950208,235.984848
240,57.262500,266.231250,95.426875,0.468750,0.468750,6.622835,11.627721,5.632490,6.532369,11.334550,5.649902,1.903483,78.009722
500,45.222000,242.485667,103.875500,0.488281,0.488281,6.982652,12.242873,5.725417,6.830571,12.357027,5.645998,1.891617,56.112000
800,54.236042,287.222083,86.413667,0.390625,0.781250,8.738587,10.672492,6.953779,8.702471,8.202483,6.978340,2.145067,402.152917
1024,48.183919,365.512370,112.136792,0.500000,0.500000,9.721271,12.171742,7.704962,9.724333,12.291792,7.629394,1.996657,55.013346
1500,46.416778,382.495222,88.283875,0.366211,0.732422,9.928356,11.884644,8.227894,9.841627,9.618844,8.268642,2.297677,215.333333
2048,51.388184,260.891439,128.272500,0.500000,0.500000,10.174800,13.149965,8.532056,10.083158,13.494779,8.580406,2.015306,84.289551
3000,48.425944,364.856556,105.188292,0.366211,0.732422,10.430600,11.820390,9.238858,10.375171,9.837873,9.257931,2.342383,272.976889
6000,50.691028,378.969972,116.916916,0.366211,0.732422,10.921271,12.050898,10.388094,10.503052,10.183773,10.642467,2.348699,241.453722
8192,52.933553,310.489217,143.527125,0.500000,0.500000,10.969358,14.081927,11.205469,10.876400,14.035804,10.927667,2.054188,62.986613
12000,56.538750,397.505208,164.843292,0.366211,0.732422,11.240640,12.614733,12.957750,10.955085,10.505588,11.888367,3.199512,253.127306
16384,62.384705,342.614482,329.534000,0.500000,0.500000,11.602583,14.730340,13.730721,11.565915,14.938027,13.707862,2.122434,69.199443
25000,63.322220,547.542773,215.645167,0.381470,0.762939,12.619123,14.324875,16.855106,12.028542,10.445546,15.224933,3.469169,294.464987
32768,74.220657,681.630661,369.512208,0.500000,0.500000,13.068867,15.958944,16.609171,12.589002,16.231406,17.001202,4.725954,104.683350
45000,60.132719,1409.546148,271.585167,0.343323,0.686646,13.209608,13.827373,18.530517,12.857337,12.973300,17.378656,7.329232,301.635496
60000,97.502083,821.402781,360.092042,0.457764,0.457764,13.626960,16.388973,18.987337,13.797533,16.555169,19.487142,6.622378,80.078933
100000,81.478470,1360.737363,291.792042,0.381470,0.762939,25.600223,15.444650,22.014063,18.120529,12.147973,20.358810,8.391275,330.265137
150000,139.823242,1353.584722,2789.112125,0.572205,0.572205,45.591148,16.792606,33.918554,46.125154,16.763558,33.876858,5.631227,369.481667
200000,102.461737,1287.376945,419.174250,0.381470,0.762939,59.781283,15.823756,48.435735,53.619129,13.037002,44.961456,8.817329,484.587153
300000,169.507036,1330.517546,0.000000,0.572205,0.572205,67.746415,21.911015,56.587179,68.739498,22.917529,58.988006,6.054061,198.316481
400000,178.611702,1872.337638,0.000000,0.381470,0.762939,72.966244,27.207456,65.535663,71.570958,25.939627,58.525942,9.244369,701.067743
600000,508.372061,1467.218959,0.000000,0.572205,0.572205,75.459252,31.740738,66.772137,77.632742,31.845108,67.058525,6.438917,151.117963
800000,345.640868,2247.997830,0.000000,0.381470,0.762939,79.545683,31.373735,68.954792,78.595758,30.834760,66.303525,9.314540,1008.523004
1200000,958.235555,2159.248993,0.000000,0.572205,0.572205,78.210538,32.699985,67.177829,76.918921,31.938940,64.806531,7.583801,478.781574
2200000,652.303210,1629.447045,0.000000,0.524521,0.524521,85.859540,35.680165,73.440775,80.337071,33.215454,67.750254,7.694809,224.971831
3100000,358.825558,2290.182655,0.000000,0.369549,0.739098,87.593117,32.721758,69.336690,80.123692,30.577388,67.428004,9.421788,849.594821
6000000,306.442802,3146.438986,0.000000,0.357628,0.715256,94.894767,41.398890,83.037133,86.598767,33.196394,77.427042,9.390871,966.299086
10000000,1836.841733,2855.160308,0.000000,0.596046,0.596046,95.199146,44.586056,81.996627,95.386367,44.828787,82.199985,6.054329,913.317610
