element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.244792,25.390625,11.998542,0.500000,0.500000,2.196008,2.091133,2.127062,2.191210,2.094067,2.101727,3.292275,16.489583
110,9.404545,25.439394,10.343042,0.429688,0.429688,2.901342,2.146029,2.452948,2.833244,2.139446,2.420587,4.199777,19.190909
240,10.590278,27.256250,11.463083,0.468750,0.468750,2.902261,2.184250,2.926110,2.863727,2.195527,2.796119,4.531339,14.641667
500,31.167000,49.597333,12.164375,0.488281,0.488281,10.823031,6.201142,8.343917,10.489219,6.215379,8.189267,3.971394,40.222000
800,27.490833,43.732708,28.565000,0.781250,0.781250,9.203129,7.482102,7.917600,9.178802,8.237581,8.079046,3.929615,33.542083
1024,13.617188,154.805501,13.336834,0.500000,0.500000,5.329383,3.719515,4.595292,5.283365,3.651398,4.549148,4.259551,15.110026
1500,23.013778,113.055667,27.187292,0.732422,0.732422,7.436515,5.926371,6.590804,7.304719,5.682942,6.762052,4.288390,21.675778
2048,13.648112,117.390951,13.494666,0.500000,0.500000,5.163075,3.603594,4.471004,5.144488,3.510896,4.358738,4.309651,10.972656
3000,19.333278,76.368056,28.662375,0.732422,0.732422,6.214781,5.122815,5.518948,6.177161,5.450840,5.539992,4.295654,26.115667
6000,21.894722,59.609972,29.547625,0.732422,0.732422,7.014825,5.425294,5.996192,8.066958,5.481563,5.927515,4.253528,26.888889
8192,17.898539,69.924255,14.845333,0.500000,0.500000,6.335829,4.370025,5.257977,6.485131,4.493556,5.134235,4.290786,31.178792
12000,31.475708,73.500569,30.632083,0.732422,0.732422,14.718956,8.744223,10.936371,14.245529,9.684883,12.104360,4.257753,39.689806
16384,26.580393,83.255768,15.528292,0.500000,0.500000,13.958360,5.648267,6.427037,14.549946,5.416590,6.159656,4.140953,28.869629
25000,36.154173,64.127507,37.645750,0.762939,0.762939,20.284048,10.943765,16.806067,20.514475,10.294427,12.543469,4.028681,41.848893
32768,27.571996,72.714701,16.130792,0.500000,0.500000,18.117465,7.696206,10.154113,13.852362,7.616148,10.229567,4.151571,29.166758
45000,32.406789,60.966507,31.571875,0.686646,0.686646,22.425527,11.464221,17.401704,21.062648,11.157050,17.278150,4.165997,35.906489
60000,27.614700,79.921647,16.671542,0.457764,0.457764,19.437521,8.335471,16.010533,18.890575,7.927206,17.791277,4.192365,28.277544
100000,34.873190,66.211803,50.646833,0.762939,0.762939,25.588354,14.763100,19.897625,24.764712,14.420077,19.418629,4.071719,36.832083
150000,28.163520,60.088887,33.096500,0.572205,0.572205,21.362069,9.168958,18.560085,21.703140,9.126871,20.889346,4.272852,28.791111
200000,54.961530,78.263682,39.838333,0.381470,0.381470,18.793829,6.742671,16.401698,25.050952,6.759792,18.170185,4.481371,54.957082
300000,34.688658,68.021759,57.562958,0.572205,0.572205,30.204163,10.668608,23.308235,32.551744,9.856777,22.729437,4.560025,34.286667
400000,53.748646,78.184548,131.320667,0.762939,0.762939,42.101190,17.469544,31.699487,40.778590,17.558490,35.322765,4.320179,53.872986
600000,37.272152,85.094259,71.821007,0.572205,0.572205,36.979427,10.508402,30.206560,36.462015,10.955298,29.113433,4.420529,45.284352
800000,61.333177,98.345191,193.830729,0.762939,0.762939,48.083573,17.129871,36.641002,45.049304,17.329529,34.023813,4.263856,55.565885
1200000,42.623715,93.058941,93.032430,0.572205,0.572205,37.710346,11.335140,28.975094,35.302031,11.032542,29.249715,4.228660,49.197257
2200000,47.657481,89.798750,70.523712,0.524521,0.524521,32.744477,9.368275,29.971438,35.850050,10.273433,27.994094,4.373816,44.279798
3100000,59.791102,92.811358,182.340484,0.739098,0.739098,57.013660,19.741087,49.329581,47.126713,19.161854,46.875744,4.330847,63.024090
6000000,73.439233,118.267246,184.558649,0.715256,0.715256,63.324652,17.816835,44.717729,61.802690,16.490321,46.612767,4.201533,71.980137
10000000,45.014085,103.370796,86.529183,0.596046,0.596046,29.286754,10.805683,28.400535,28.908479,15.484908,28.796669,4.274946,47.546657
