element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,23.442708,44.265625,36.717250,0.500000,0.500000,12.341140,9.040465,9.544108,12.551510,9.030090,9.616356,1.879850,88.114583
110,24.937879,41.668182,51.976375,0.859375,0.859375,14.748831,10.749104,10.352492,15.879071,10.940054,10.347415,1.030358,47.348485
240,30.584722,57.523611,42.505291,0.937500,0.937500,17.012008,11.438615,10.972177,17.011860,11.509252,10.981742,0.933570,78.993056
500,32.652667,68.735667,45.586542,0.488281,0.488281,14.225835,13.086883,11.809458,14.256569,13.386419,11.853762,1.961360,25.334000
800,29.071042,53.307292,63.287875,0.781250,0.781250,20.027752,15.381235,15.165904,20.630071,15.775085,14.474775,1.139779,32.274583
1024,26.068522,69.478516,46.133458,0.500000,0.500000,18.617337,14.539215,16.864396,18.506913,14.973548,17.650952,1.841888,29.120443
1500,29.851778,60.370444,56.914000,0.732422,0.732422,21.789398,17.043460,17.539740,21.739908,17.275879,17.267896,1.302668,34.536889
2048,26.458659,71.234782,49.558917,0.500000,0.500000,20.273835,16.586498,20.027462,20.529737,16.544708,18.802690,1.975078,35.366536
3000,32.374944,65.967611,74.134084,0.732422,0.732422,23.211388,19.068404,20.690413,24.900900,18.951027,20.950946,1.286263,42.509222
6000,33.988472,71.761556,131.604708,0.732422,0.732422,25.030613,20.686544,23.780717,23.678287,20.781581,22.732127,1.274412,34.099500
8192,28.683126,86.239299,75.804125,0.500000,0.500000,21.154719,18.157987,23.981094,21.059621,18.250196,23.954617,1.967255,28.740763
12000,35.751736,73.538181,104.360583,0.732422,0.732422,24.275046,22.242521,27.295131,24.759458,22.132756,26.112858,1.312933,37.510444
16384,29.952576,88.245382,152.176416,0.500000,0.500000,22.462569,19.392317,26.971438,22.484313,19.402833,28.291021,2.220243,30.565918
25000,39.618067,86.112220,122.418875,0.762939,0.762939,26.757792,23.726154,31.742494,26.556065,25.635492,32.757485,1.289169,41.418880
32768,30.717214,91.661240,188.268708,0.500000,0.500000,24.642575,20.613773,30.467435,24.431673,20.357894,30.462148,3.304747,45.313100
45000,38.809100,84.684874,226.910208,0.686646,0.686646,26.403450,23.830604,33.469788,28.784079,24.583408,33.367758,1.733375,44.021904
60000,45.255442,78.021989,262.954291,0.915527,0.915527,29.845085,26.429008,39.760852,29.769794,26.832590,40.894900,1.132554,49.574072
100000,49.286807,91.836530,195.944250,0.762939,0.762939,47.810775,33.861223,44.723317,70.418406,50.889167,50.396000,2.044656,60.477087
150000,47.546480,108.260647,215.984541,0.572205,0.572205,77.349158,41.087946,70.745144,81.945717,47.216863,67.412283,4.510290,58.501947
200000,62.616733,106.131667,218.338000,0.762939,0.762939,88.987058,66.750635,97.835217,109.091533,64.676365,80.639431,2.536485,66.772432
300000,65.392037,131.121991,249.178459,0.572205,0.572205,111.361325,70.342652,111.214400,107.004696,64.066810,92.732271,5.374888,62.733519
400000,73.647326,125.251563,261.062750,0.762939,0.762939,127.739419,84.278260,108.986127,119.685435,77.524310,111.756963,2.831417,78.831458
600000,85.458310,174.253264,272.475799,0.572205,0.572205,133.300954,85.486683,118.443265,131.793531,87.278058,120.193056,5.376589,86.759119
800000,98.323056,162.966788,310.026328,0.762939,0.762939,139.886262,91.600367,125.322194,140.572229,93.377048,129.264596,3.219069,111.653386
1200000,97.717517,205.191962,303.368750,0.572205,0.572205,141.155858,96.938094,130.223727,138.418431,94.701004,124.789015,6.185057,104.023530
2200000,98.081259,224.310483,297.752879,0.524521,0.524521,140.708154,91.672073,129.584244,143.813227,93.235671,129.511717,7.535066,109.504009
3100000,116.231089,211.326505,342.916452,0.739098,0.739098,155.028871,103.273258,134.282463,151.314931,101.408500,138.967604,4.639272,120.278902
6000000,121.623497,235.107712,403.808566,0.715256,0.715256,167.852554,112.126935,147.489252,165.284488,110.313131,146.477888,5.146885,128.459687
10000000,119.038798,253.474871,354.026744,0.596046,0.596046,157.284540,104.849525,142.204940,159.713806,112.295869,140.818229,6.801619,118.687985
