element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.984375,19.098958,11.619542,0.500000,0.500000,1.676419,1.541706,1.526035,1.677398,1.542431,1.532660,1.856679,4.343750
110,7.324242,14.772727,19.326417,0.859375,0.859375,1.972500,1.919650,1.960923,1.982227,1.868192,1.909246,1.076739,4.800000
240,8.072222,17.274306,10.925250,0.937500,0.937500,1.821060,1.716083,1.734463,1.811862,1.711037,1.733840,0.978959,5.323611
500,5.444333,22.819667,11.657250,0.488281,0.488281,1.937321,1.193071,1.275579,1.884881,1.211206,1.276948,1.931492,4.054667
800,6.145833,18.177083,18.797625,0.781250,0.781250,1.688394,1.609927,1.560725,1.725092,1.566285,1.602317,1.287202,5.173333
1024,5.513509,24.230794,12.570625,0.500000,0.500000,1.935594,1.552237,1.777610,1.934510,1.545806,1.777008,1.952440,4.842122
1500,6.286889,57.940000,18.698250,0.732422,0.732422,1.995881,1.751140,1.917792,1.966812,1.756131,1.905006,1.236655,5.435333
2048,5.445719,56.586426,13.059542,0.500000,0.500000,2.630350,1.689867,1.879519,2.594735,1.731808,1.890998,1.945344,4.821940
3000,6.703722,41.715278,19.779208,0.732422,0.732422,2.298760,1.959681,2.049546,2.182840,1.738998,1.936010,1.282523,10.185111
6000,8.142333,26.717611,20.455917,0.732422,0.732422,2.402169,1.920317,2.151915,2.363008,1.981637,2.206937,1.282641,6.196833
8192,6.669800,37.350972,14.155000,0.500000,0.500000,3.148423,1.689629,2.045892,3.064621,1.791208,1.952477,2.146061,6.011963
12000,9.075819,39.112278,21.592209,0.732422,0.732422,2.623025,2.210104,2.141344,2.582804,1.945992,2.260173,1.327555,10.456000
16384,7.247508,51.456451,14.685209,0.500000,0.500000,3.287412,1.858706,2.123733,3.357000,1.850523,2.130733,2.048893,11.951884
25000,9.911947,43.490840,23.739083,0.762939,0.762939,3.283442,6.098271,3.690667,3.285227,5.969992,2.864631,1.329694,15.955000
32768,9.128779,50.270930,15.306458,0.500000,0.500000,3.902067,3.639392,2.302975,3.806733,3.321875,2.303783,2.866386,13.751119
45000,11.432715,44.990278,21.481750,0.686646,0.686646,3.914754,7.297885,5.022112,3.990144,7.269433,4.232215,1.784247,17.009881
60000,17.609839,42.992944,15.676500,0.915527,0.915527,4.075354,6.509123,5.527129,4.107727,6.525058,5.536946,1.181477,20.681256
100000,16.231390,46.094027,26.201250,0.762939,0.762939,4.626483,7.617948,9.163765,4.607400,7.616419,8.807819,2.078992,18.818753
150000,18.193240,57.718613,24.896167,0.572205,0.572205,4.941050,7.060571,9.873962,4.841321,7.072263,9.520250,4.690620,15.120093
200000,17.795072,45.319932,34.161167,0.762939,0.762939,5.986006,8.848812,12.375610,5.831337,8.969323,13.032023,2.599642,20.327498
300000,20.277917,56.674028,34.063750,0.572205,0.572205,8.833210,8.641810,14.157485,9.184212,8.508062,14.283279,5.263655,20.722408
400000,22.702605,50.576979,46.476000,0.762939,0.762939,10.719633,10.781477,18.597031,11.341975,10.797817,18.335133,3.034602,28.622327
600000,23.541528,60.708102,42.291180,0.572205,0.572205,12.861123,13.057427,18.844965,12.880200,13.024244,19.226906,5.979005,27.597153
800000,29.131042,58.648525,57.360130,0.762939,0.762939,15.228352,15.538471,22.228512,14.825142,15.385779,22.228719,3.027481,33.949097
1200000,28.790590,69.862882,45.952552,0.572205,0.572205,14.593444,14.918660,20.294669,14.540204,14.962460,20.248960,7.350995,33.132245
2200000,29.966610,78.550559,46.145568,0.524521,0.524521,15.281012,15.033583,20.117306,15.248269,15.196846,20.282446,8.672222,34.976029
3100000,38.727043,74.150538,68.532466,0.739098,0.739098,18.299606,17.500698,24.715256,18.607642,17.562419,24.543029,5.434510,42.479884
6000000,40.717069,84.305882,68.809868,0.715256,0.715256,17.985690,17.621156,25.162888,18.035967,17.354313,24.983544,5.528786,45.647736
10000000,37.215177,101.176721,55.144175,0.596046,0.596046,16.610829,16.456761,23.261879,16.853467,16.788037,22.946185,7.255927,41.688188
