element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.562500,17.796875,11.170167,0.500000,0.500000,3.854269,1.395669,1.541117,3.856754,1.395502,1.540542,1.721802,3.041667
110,7.322727,19.253030,19.354542,0.859375,0.859375,1.949800,1.757548,1.884033,1.950890,1.758042,1.883433,1.069316,4.545455
240,7.059028,15.046528,10.467125,0.937500,0.937500,1.802548,1.739656,1.831790,1.761227,1.653323,1.828306,0.971171,4.918056
500,3.347333,17.805667,10.886375,0.488281,0.488281,1.908979,1.395494,1.280121,1.945035,1.438138,1.283973,1.806975,4.083333
800,5.078125,13.307292,17.638666,0.781250,0.781250,2.031671,1.383831,1.424642,2.138996,1.397929,1.429719,1.101579,3.593750
1024,3.465495,17.008626,11.197458,0.500000,0.500000,2.281577,1.213323,1.254527,2.282842,1.228727,1.301890,1.771703,2.902669
1500,5.004667,14.351889,16.818000,0.732422,0.732422,1.968098,1.349140,1.445304,1.947054,1.352246,1.442475,1.219272,3.435333
2048,3.689209,19.134603,11.299375,0.500000,0.500000,2.058506,1.268879,1.311408,2.017123,1.244894,1.312833,1.828655,2.936361
3000,5.208333,16.553222,16.831708,0.732422,0.732422,2.219600,1.383648,1.416419,2.080473,1.391652,1.445327,1.213935,3.629667
6000,5.964139,18.208306,18.406542,0.732422,0.732422,2.509973,1.663792,1.758288,2.352183,1.548115,1.540646,1.211316,4.208278
8192,4.803996,30.107320,12.879959,0.500000,0.500000,3.364456,1.526954,1.783265,3.308029,1.477623,1.642360,1.881705,4.124959
12000,7.340278,29.232069,19.741459,0.732422,0.732422,3.242002,1.968850,1.919658,3.316750,1.776396,1.993121,1.246280,8.505778
16384,6.014079,36.934316,13.223375,0.500000,0.500000,3.862717,1.822888,1.904113,3.810723,1.817317,1.907837,1.892144,6.870687
25000,10.254160,30.781113,21.658750,0.762939,0.762939,3.901292,6.035702,5.740956,3.928073,5.548488,5.867592,1.232431,12.293333
32768,7.397970,41.156342,13.497666,0.500000,0.500000,4.202846,4.432525,3.981165,4.182144,4.193654,4.006927,2.247510,8.177429
45000,9.433644,33.481793,19.075541,0.686646,0.686646,4.509048,7.318035,7.166617,4.508340,6.891421,7.096071,1.530570,12.011111
60000,15.352894,35.410419,13.635167,0.915527,0.915527,4.883948,6.292308,7.999837,4.864550,6.217140,8.036519,1.100247,17.379400
100000,13.356667,35.536663,23.071125,0.762939,0.762939,5.238817,9.052935,10.172644,5.326052,7.622667,10.133335,1.780583,14.404030
150000,9.776391,42.719164,16.386458,0.572205,0.572205,5.164250,7.452842,10.461204,5.168523,7.391085,10.317206,4.078563,10.797962
200000,14.297847,38.409723,23.527500,0.762939,0.762939,5.922398,9.528808,12.001019,5.919121,9.206819,11.702331,2.375313,14.855902
300000,10.230741,40.923426,16.778083,0.572205,0.572205,5.519410,8.139333,11.277383,5.513283,8.131360,11.171654,4.704832,10.552640
400000,14.155243,36.889897,25.135500,0.762939,0.762939,6.531325,10.007717,13.044463,6.527454,9.951435,13.266054,2.801408,14.629270
600000,11.602222,43.000047,21.497708,0.572205,0.572205,5.622033,9.396885,12.735485,5.620419,8.440963,11.928458,5.202347,11.913819
800000,15.135174,38.905868,33.349323,0.762939,0.762939,6.945500,10.440417,14.032242,6.942300,10.289369,13.943494,2.790508,15.925191
1200000,17.392222,45.086354,30.480816,0.572205,0.572205,9.831698,12.424379,17.575869,9.834448,12.581602,17.394413,5.023360,19.083033
2200000,20.343362,53.831155,33.908674,0.524521,0.524521,11.535225,13.411992,18.325942,11.760037,13.304660,18.622921,5.771415,22.995776
3100000,28.760141,51.992285,53.326008,0.739098,0.739098,13.417577,16.200958,21.514933,13.478065,16.059246,21.485063,3.270933,29.630887
6000000,29.589056,61.498535,55.346382,0.715256,0.715256,14.229694,16.603313,22.559267,14.349348,16.655758,22.637871,3.561615,31.435012
10000000,25.387019,68.840219,42.791342,0.596046,0.596046,15.026929,15.333031,20.772998,13.509119,15.359312,20.889219,5.230183,27.662499
