element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.755208,27.119792,26.176250,0.500000,0.500000,8.213079,4.587456,6.829988,8.519054,4.882396,7.393633,1.943110,35.604167
110,14.774242,29.418182,37.659791,0.859375,0.859375,8.598539,5.671273,7.650650,8.019010,4.979448,6.624306,1.034577,22.851515
240,12.991667,33.564583,25.281500,0.937500,0.937500,7.597606,5.170681,6.564981,7.647977,5.144883,6.548962,0.969751,12.730556
500,10.167333,40.542000,26.176250,0.488281,0.488281,7.721802,4.500923,6.429837,7.670500,4.522513,6.440269,1.820367,11.666667
800,12.568958,31.371875,33.270917,0.781250,0.781250,8.458454,5.050148,7.021371,8.907625,5.061694,6.885246,1.152692,29.392500
1024,11.366211,45.118490,26.638458,0.500000,0.500000,10.476644,5.469085,8.267417,11.096731,5.424929,8.131285,2.119610,31.493815
1500,17.676000,51.259222,35.608917,0.732422,0.732422,10.671944,5.995308,8.317048,10.972702,6.129894,8.246556,1.237509,14.333333
2048,13.983887,52.937663,28.128375,0.500000,0.500000,11.786644,6.845452,9.426752,11.436960,7.650650,9.555969,1.877347,13.515951
3000,14.796278,42.472111,35.359584,0.732422,0.732422,12.710483,10.245085,11.241517,13.396479,9.102660,11.746879,1.270145,23.111000
6000,17.326361,50.526667,36.937708,0.732422,0.732422,14.001696,10.600696,12.889815,13.918369,10.622340,12.851467,1.253693,21.597222
8192,16.209941,63.923279,30.261667,0.500000,0.500000,14.150106,10.514317,12.776577,14.094873,10.424563,12.786498,2.036359,22.086263
12000,19.129042,57.361681,38.646917,0.732422,0.732422,16.066910,12.709246,13.098810,14.623969,10.870879,13.128119,1.295708,24.859944
16384,17.550985,75.185974,30.856375,0.500000,0.500000,16.570192,11.953992,20.141319,16.467579,13.414346,20.717687,1.915213,21.410624
25000,22.685833,60.918047,40.931833,0.762939,0.762939,19.878296,16.716073,22.759173,19.835308,15.440252,22.254885,1.306217,28.016120
32768,19.471903,77.892939,31.890791,0.500000,0.500000,18.066312,15.178798,22.491779,17.711677,14.279794,20.347625,3.205490,24.099986
45000,23.734107,66.913426,38.973334,0.686646,0.686646,19.635787,18.758804,25.861625,19.317710,19.212977,26.059119,1.849996,27.582415
60000,30.198728,62.385417,33.217333,0.915527,0.915527,22.500369,20.906152,28.739706,21.697094,21.059098,28.580700,1.138477,33.111339
100000,27.694027,66.127083,44.374917,0.762939,0.762939,22.193594,23.264952,29.710673,21.860817,22.186969,29.644550,2.060440,28.589583
150000,23.542869,76.075278,36.747125,0.572205,0.572205,21.597540,21.379350,28.000208,21.164352,21.126733,28.550333,4.684256,24.852593
200000,28.102222,68.394585,48.674667,0.762939,0.762939,23.812821,25.440871,32.616212,24.149667,25.634763,34.495319,2.905817,29.864235
300000,27.127408,85.420741,56.978000,0.572205,0.572205,25.435660,25.486429,34.694258,25.197425,25.123842,34.216973,5.428661,26.037824
400000,33.558334,77.211077,71.748375,0.762939,0.762939,28.657140,29.408573,37.081158,27.732665,28.534292,38.259660,3.027219,31.749097
600000,34.763195,89.537616,73.030868,0.572205,0.572205,41.638535,33.550740,47.185392,40.841252,32.395023,41.366794,5.304015,37.101019
800000,37.234930,79.099809,86.915391,0.762939,0.762939,37.764469,32.540429,48.434954,39.042856,32.215808,45.326958,2.983054,38.642535
1200000,40.240764,93.698177,86.501788,0.572205,0.572205,48.139829,35.576902,50.078019,44.518369,35.637500,50.361927,6.142890,42.064340
2200000,42.810435,109.655000,81.820473,0.524521,0.524521,48.141962,36.599987,52.568186,48.058346,37.180436,54.006090,7.721900,44.543119
3100000,51.216317,99.215242,106.087796,0.739098,0.739098,50.239754,42.712913,57.149342,50.076785,42.883862,57.576700,4.272058,53.301770
6000000,53.984146,109.447715,113.024462,0.715256,0.715256,55.711383,45.634308,62.709925,55.598477,45.412496,63.101471,5.188868,57.632954
10000000,49.698352,128.671902,96.693302,0.596046,0.596046,54.567690,43.227183,61.043465,53.487287,43.252673,60.993348,7.019433,51.785067
