element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,19.973958,41.666667,26.968250,0.500000,0.500000,9.465213,6.580813,7.914927,9.472644,6.580223,7.883190,1.001729,25.187500
110,16.983333,39.521212,29.592542,0.429688,0.859375,10.714175,7.422290,7.372687,10.652975,9.512827,9.980317,1.320100,50.503030
240,21.730556,44.040278,36.350416,0.468750,0.468750,12.936919,7.633227,8.042713,13.282225,7.609123,8.021921,1.254880,23.726389
500,25.944667,41.583333,37.838709,0.488281,0.488281,13.825075,8.453631,8.127140,13.814408,8.603871,8.146306,1.353775,24.612000
800,20.182292,46.059167,51.810333,0.390625,0.781250,15.091608,10.111879,10.353692,16.698892,13.338340,13.220402,1.532860,114.756667
1024,24.881999,47.397135,37.659917,0.500000,0.500000,17.755358,11.450883,11.348962,17.769867,11.527490,11.513675,1.169970,25.485677
1500,24.967556,51.805444,43.608833,0.366211,0.366211,17.298929,12.069615,12.490621,17.460456,12.216333,12.143335,1.479747,61.342889
2048,25.244792,46.281413,43.752541,0.500000,0.500000,20.551492,13.321965,13.978925,20.418702,13.027687,14.104208,1.261704,30.117676
3000,22.662056,56.826444,60.416750,0.366211,0.732422,18.231148,13.492465,15.942042,27.188688,16.816150,16.564950,1.624892,49.143556
6000,22.686333,58.767361,114.095125,0.366211,0.732422,18.366294,14.544352,20.895950,29.549379,19.897340,24.894483,1.626206,49.171278
8192,26.330709,51.589945,65.417042,0.500000,0.500000,22.248031,16.442508,27.862504,22.260085,16.317998,28.046052,1.311056,26.843547
12000,23.767361,61.737278,90.567958,0.366211,0.366211,19.896902,15.369946,23.576221,19.600158,15.527502,23.923785,1.768536,70.859944
16384,27.484049,56.735158,143.069875,0.500000,0.500000,24.462833,18.734827,31.608702,24.424806,18.603154,31.554252,1.625675,28.488180
25000,23.915553,58.450827,213.051958,0.381470,0.381470,21.033517,16.866437,28.202102,21.674692,16.864860,28.483512,3.355379,80.737213
32768,25.961558,53.968211,153.806666,0.500000,0.500000,25.871931,20.899575,34.238179,25.904137,20.925419,34.470767,2.947032,35.093516
45000,24.352011,68.770367,210.449833,0.343323,0.686646,20.681458,16.451771,27.998817,39.132279,27.219262,42.169071,4.117884,61.082711
60000,27.570253,60.589347,240.009416,0.457764,0.457764,24.611696,20.171704,32.862617,24.499427,20.241131,32.806781,4.051771,35.007411
100000,38.383057,75.373607,183.424959,0.381470,0.381470,34.313342,22.069744,37.379646,34.452673,20.511808,37.517629,4.553823,87.538477
150000,44.444629,108.623333,187.899000,0.286102,0.572205,62.102642,34.116863,60.942363,63.433031,46.134969,70.455994,5.118114,98.333889
200000,52.036667,96.769305,202.846333,0.381470,0.381470,75.313483,45.951271,75.483648,75.315112,49.184627,75.326869,5.020883,118.085695
300000,62.930693,136.020417,220.386834,0.286102,0.572205,87.571094,56.218917,85.333233,96.920027,72.992346,110.598171,5.614337,129.679399
400000,68.051007,122.443195,236.453000,0.381470,0.381470,97.157679,64.025850,92.269312,95.637865,63.634058,92.220435,5.321106,135.136180
600000,71.577917,157.211713,240.039688,0.286102,0.572205,99.715548,61.822350,92.647817,115.059810,85.519965,123.660458,5.689890,141.754513
800000,77.683402,144.203455,260.903984,0.381470,0.381470,105.231958,69.672769,102.462948,108.640342,68.840150,104.125054,5.466358,174.549010
1200000,79.480625,180.180764,265.969080,0.286102,0.572205,103.147933,66.742885,98.819277,126.777548,89.355915,134.463352,5.975257,156.927743
2200000,80.322661,202.775871,272.334205,0.262260,0.524521,104.698387,65.669314,98.955229,128.307625,89.427487,126.932515,6.084275,161.020322
3100000,86.048313,175.011633,285.547419,0.369549,0.369549,114.171208,72.533435,109.835592,115.019615,72.807196,110.849429,5.729357,195.706797
6000000,89.359465,181.699910,293.305177,0.357628,0.715256,115.159071,73.222479,107.868890,158.269292,124.472313,226.218808,5.702583,164.013917
10000000,86.343554,205.033990,309.405008,0.298023,0.596046,120.205617,75.994360,106.461967,142.061177,97.465587,157.856436,5.758679,165.531086
