element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,3.260417,18.234375,5.318334,0.500000,0.500000,1.096612,1.290423,1.175217,1.096171,1.290465,1.173998,1.243613,3.906250
110,3.283333,15.025758,5.224458,0.429688,0.859375,1.091473,1.226602,1.174221,1.887837,1.996325,1.673821,1.323021,12.375758
240,3.702778,11.950694,5.398334,0.468750,0.468750,1.130606,1.266015,1.244523,1.131627,1.274425,1.247121,1.347139,3.125000
500,3.194667,10.694333,7.521542,0.488281,0.488281,1.093977,1.292600,1.286650,1.077058,1.305908,1.287346,1.338521,2.778000
800,2.925417,11.163333,8.729750,0.390625,0.781250,0.995140,1.152267,1.204373,1.866769,2.177671,1.702871,1.561627,11.996250
1024,3.316243,9.996257,5.545792,0.500000,0.500000,1.118629,1.311221,1.269202,1.133533,1.366871,1.285644,1.311981,2.820964
1500,3.407444,12.615778,8.611958,0.366211,0.732422,0.995479,1.239731,1.314181,1.869038,2.077440,1.595635,1.509027,12.981556
2048,3.835124,10.996338,6.204209,0.500000,0.500000,1.175027,1.309773,1.319500,1.179910,1.413979,1.357910,1.285596,3.031413
3000,3.988500,21.749944,9.713250,0.366211,0.732422,1.248650,1.461998,1.413598,1.729663,2.038873,1.722646,1.615178,12.939778
6000,4.330972,19.854167,10.222708,0.366211,0.732422,1.240350,1.403819,1.333725,1.860240,2.093502,1.845165,1.621065,15.560278
8192,5.014201,18.011332,7.115417,0.500000,0.500000,1.346683,1.539942,1.559569,1.414621,1.547321,1.532696,1.327433,5.215088
12000,4.820597,22.317694,11.105292,0.366211,0.732422,1.317575,1.502846,2.116256,2.924310,2.304867,2.194042,1.879743,21.874972
16384,5.749583,20.109823,7.634500,0.500000,0.500000,1.490300,1.710058,5.797636,1.432010,1.652294,5.259390,1.754929,7.336080
25000,5.418053,25.928613,11.636708,0.381470,0.381470,1.422577,2.034329,5.057575,1.408473,2.075415,4.755592,3.643098,29.364440
32768,6.329422,25.771454,8.336542,0.500000,0.500000,3.399123,1.818912,7.096150,3.169490,1.795431,9.016325,3.135777,9.540975
45000,5.312967,28.737193,10.695666,0.343323,0.686646,1.543348,3.380021,7.107102,9.609931,7.897002,7.905137,4.336217,22.966356
60000,6.476508,27.465158,14.600083,0.457764,0.457764,3.557935,5.217404,8.283208,3.558290,4.984083,7.516500,3.980013,8.981250
100000,6.298333,27.967917,11.696083,0.381470,0.381470,3.241054,5.271567,7.681319,3.207627,5.431275,7.648319,4.727044,26.517780
150000,5.516482,39.485184,9.524375,0.286102,0.572205,2.890579,4.423767,7.907854,7.946750,9.980813,10.706131,5.354909,21.443331
200000,6.585832,32.450625,12.568000,0.381470,0.381470,4.331221,6.655260,10.388183,4.195485,6.299129,9.841081,5.143698,28.880347
300000,9.349352,39.540880,14.064417,0.286102,0.572205,4.008431,6.005931,10.400944,8.372215,10.689683,12.876879,5.631095,28.156760
400000,10.295416,34.947153,17.699209,0.381470,0.381470,5.504815,8.420277,12.156600,5.500742,8.257294,12.674306,5.510002,32.253957
600000,13.447292,43.121227,21.692118,0.286102,0.572205,7.118550,9.410004,13.817029,9.955010,13.042485,16.890627,5.766027,33.279676
800000,14.534305,37.181719,25.735572,0.381470,0.381470,8.684358,11.646698,15.903352,8.510421,11.855029,15.992188,5.467046,43.210434
1200000,16.036372,46.086962,25.964826,0.286102,0.572205,8.656169,11.305119,15.118690,13.284427,16.875281,24.105592,5.949373,36.046620
2200000,16.644148,51.077121,27.459110,0.262260,0.524521,8.953121,11.473340,14.751315,13.354127,16.943400,24.415927,6.059888,38.210126
3100000,17.910739,43.275786,31.065309,0.369549,0.739098,10.334529,13.634350,17.060971,31.239133,32.314127,59.283710,5.668781,36.387531
6000000,18.227858,45.146313,31.025722,0.357628,0.715256,10.837467,14.132823,18.029335,28.254979,30.023100,78.860469,5.768028,38.494507
10000000,18.147708,51.872000,30.160473,0.298023,0.596046,10.091960,12.834804,16.633058,17.820350,20.227690,45.239912,5.498675,37.009217
