element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.989583,19.750000,6.491334,0.500000,0.500000,1.108386,1.243327,1.189144,1.108615,1.268460,1.239892,1.143610,5.656250
110,5.303030,18.496970,6.699916,0.429688,0.429688,1.145688,1.243240,1.212404,1.142748,1.245733,1.206971,1.275319,35.603030
240,5.207639,13.743750,7.070333,0.468750,0.468750,1.145931,1.222285,1.229854,1.145358,1.219025,1.223415,1.220674,4.338889
500,4.805333,15.222000,8.185041,0.488281,0.488281,1.037473,1.212415,1.241785,1.040075,1.232575,1.244231,1.280650,4.750000
800,5.321250,90.642083,10.475583,0.390625,0.781250,1.194017,1.394548,1.303442,1.925421,1.889548,1.869521,1.584442,23.559167
1024,5.676107,19.599121,8.188708,0.500000,0.500000,1.349300,1.614840,1.447225,1.340846,1.588588,1.430813,1.233694,6.483398
1500,5.902667,77.111000,11.597125,0.366211,0.732422,1.315202,1.632544,1.502808,1.819396,1.931096,1.829277,1.645257,21.981778
2048,6.344157,52.083333,8.545417,0.500000,0.500000,1.529927,1.805058,1.659663,1.606488,1.806987,1.747237,1.320397,7.642904
3000,6.020833,68.870444,12.097791,0.366211,0.732422,1.526242,1.762283,1.484779,1.911702,2.028060,2.112521,1.680956,22.393444
6000,6.525500,57.961833,12.451000,0.366211,0.366211,1.463258,1.575948,1.654858,1.499904,1.672394,1.615692,1.787251,48.465278
8192,7.233480,45.252502,9.132500,0.500000,0.500000,1.706212,1.903302,2.165196,1.680998,1.864892,1.724327,1.400255,8.372030
12000,6.652181,47.652208,12.370292,0.366211,0.732422,1.534838,1.740219,1.614923,4.713012,2.798840,6.213998,1.805006,37.199056
16384,8.079091,39.875041,9.499042,0.500000,0.500000,1.795667,1.944540,3.645102,1.752369,1.949006,3.057958,1.654987,16.201436
25000,7.257220,44.442500,13.481916,0.381470,0.381470,1.612854,2.920452,4.247483,1.632162,2.841896,3.863587,3.771467,52.137787
32768,9.753967,41.701640,10.216458,0.500000,0.500000,2.977373,3.223425,7.142515,2.867285,7.604367,6.546177,2.994346,17.141571
45000,7.337037,45.774541,12.899834,0.343323,0.686646,1.681804,3.151819,4.502010,8.864040,8.738148,10.544719,4.162620,28.895378
60000,8.943869,45.159256,18.426042,0.457764,0.457764,3.469438,6.158133,8.096715,3.159477,5.986169,7.361433,3.860535,11.454394
100000,9.621247,55.092083,19.506416,0.381470,0.381470,3.800340,6.623406,8.884681,3.780294,6.150850,9.078342,4.789875,56.950417
150000,17.493427,81.937776,26.988417,0.286102,0.572205,3.716152,5.748069,9.234148,8.832012,10.971219,12.833606,5.469977,67.225462
200000,17.550627,71.190833,30.644667,0.381470,0.381470,6.438627,9.307702,12.794048,6.346506,9.807298,13.615642,5.228777,77.140903
300000,22.039304,88.896759,33.245708,0.286102,0.572205,7.277202,10.596929,14.474708,12.466842,15.818115,21.032927,5.681437,72.346159
400000,23.462430,73.956666,38.153750,0.381470,0.381470,8.852817,13.910319,17.455088,8.721813,13.353365,17.155125,5.455206,87.471007
600000,24.801621,93.617083,36.350034,0.286102,0.572205,8.881217,12.462017,15.890764,15.017142,19.047367,28.486035,5.857933,73.464884
800000,26.453177,78.295469,41.691927,0.381470,0.381470,10.641379,15.189577,19.151065,10.759146,15.122931,18.933008,5.513998,90.048593
1200000,26.087952,99.613958,38.655278,0.286102,0.572205,10.157446,13.331687,16.746529,17.351152,21.176331,32.210273,6.012408,77.635926
2200000,26.799110,101.003627,38.281951,0.262260,0.524521,10.344110,13.124465,16.723090,15.967811,20.392063,29.561158,6.134402,71.704949
3100000,28.108474,81.519100,43.983757,0.369549,0.369549,12.120848,15.843765,20.143219,12.082788,15.847510,20.081190,5.730536,85.373875
6000000,28.178410,80.731601,43.619326,0.357628,0.357628,12.177683,15.638425,20.075567,12.142796,15.696454,20.046096,5.768920,96.593271
10000000,33.247138,105.259702,41.850417,0.298023,0.596046,11.197125,13.860598,18.256981,20.401400,24.923331,54.130577,5.575981,72.998826
