element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,17.354167,34.723958,32.999375,0.500000,0.500000,7.744208,4.232396,6.224017,7.733933,4.232719,7.299221,1.299819,20.833333
110,17.865152,35.415152,35.709583,0.429688,0.859375,7.849875,4.533056,6.170790,8.712279,5.821619,7.048381,1.315936,110.854545
240,16.550000,41.115972,36.701583,0.468750,0.468750,8.783421,4.346971,6.280288,7.844471,4.432908,6.239694,1.191859,39.177778
500,26.764000,33.291333,36.269167,0.488281,0.488281,7.549975,4.428869,6.381719,7.712652,4.476887,6.409142,1.188492,30.944000
800,18.315833,35.998333,43.961792,0.390625,0.781250,10.418517,4.714125,7.652781,10.009869,5.599823,8.036606,1.549967,49.877917
1024,18.181803,34.098307,41.657667,0.500000,0.500000,9.686452,4.732269,7.990298,9.641588,5.280829,8.035013,1.206393,27.832031
1500,22.463000,47.657444,44.483542,0.366211,0.732422,10.612731,5.495069,8.379644,11.764890,6.430862,8.515667,1.612751,69.657556
2048,19.758301,38.031820,43.392375,0.500000,0.500000,11.082348,6.256050,8.889967,10.688069,6.142533,8.739554,1.277622,33.677897
3000,19.668944,54.111111,47.574000,0.366211,0.732422,11.310658,6.055754,9.374631,12.985548,7.616235,9.660954,1.611007,77.250000
6000,22.192139,60.278889,48.458625,0.366211,0.366211,11.618963,6.141813,9.027687,11.264354,8.583031,10.787698,1.630378,74.247667
8192,25.469462,52.662292,46.115167,0.500000,0.500000,13.719125,6.849342,9.269106,15.207206,6.912402,10.185681,1.384072,38.021484
12000,26.593750,77.976861,56.998208,0.366211,0.732422,15.797554,6.298363,13.535965,16.680885,15.882223,12.400725,1.753364,60.993056
16384,26.860555,60.440491,59.559583,0.500000,0.500000,20.820990,11.871781,24.218419,19.719679,11.785440,22.953433,1.721667,34.666280
25000,26.340553,64.351393,80.284416,0.381470,0.381470,15.945265,10.522713,24.999825,19.817565,11.095433,25.052894,3.661888,66.815547
32768,29.131775,58.495626,82.368375,0.500000,0.500000,20.766496,17.008446,28.561354,23.616073,15.771375,27.677133,2.991006,41.671753
45000,26.345681,76.806330,97.399667,0.343323,0.343323,19.934350,13.054158,20.432179,18.444904,9.163350,20.948033,4.154447,90.066363
60000,29.361228,62.307061,88.556917,0.457764,0.457764,22.047256,20.123421,25.132742,22.063517,20.140329,30.338917,4.015103,36.248378
100000,31.253333,69.518890,144.475583,0.381470,0.381470,26.104685,15.204285,30.047025,27.993104,17.293852,30.036958,4.817758,107.189863
150000,36.469167,97.712687,205.750875,0.286102,0.572205,62.937294,23.300915,43.054044,46.214833,26.699942,43.852715,5.441866,99.954073
200000,40.879028,88.935417,204.615334,0.381470,0.381470,55.045850,25.497758,46.122575,45.302925,23.661252,50.692135,5.325667,105.175623
300000,49.629537,115.621759,207.784167,0.286102,0.572205,64.549737,31.461860,58.964198,60.675983,39.716952,67.567962,5.496273,109.275879
400000,50.323958,102.145034,203.642666,0.381470,0.381470,71.430642,38.155683,67.949069,72.919275,40.171129,68.686046,5.447027,136.263367
600000,59.971713,128.655856,208.971250,0.286102,0.572205,75.348606,38.732727,71.813512,76.481131,50.536902,80.445019,5.458850,120.768496
800000,56.751754,115.546180,205.319974,0.381470,0.381470,74.996260,44.432579,73.732281,78.205658,45.703410,80.094567,6.407758,149.606215
1200000,60.551615,138.703889,223.690365,0.286102,0.572205,78.360246,43.920179,73.652658,85.357277,55.358829,93.848090,5.986957,121.836273
2200000,63.025057,155.226743,198.306203,0.262260,0.524521,79.803856,42.424517,73.653971,84.839563,54.774454,84.579756,5.849085,133.801983
3100000,62.656223,133.391721,203.034315,0.369549,0.369549,81.605944,46.008958,75.637300,81.915794,46.572844,76.237417,5.677652,135.368889
6000000,64.861924,136.287358,199.724441,0.357628,0.715256,82.858594,45.462123,75.822725,102.080102,72.596723,160.278296,5.474703,129.914884
10000000,70.958402,160.696892,208.838977,0.298023,0.596046,101.041638,46.857525,79.482379,92.437321,71.874977,109.545152,6.305813,159.130400
