element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.166667,24.526042,15.388041,0.500000,0.500000,6.278671,3.058463,4.597515,6.290435,3.057942,4.557806,1.299902,7.364583
110,6.565152,21.527273,14.728209,0.429688,0.429688,5.830848,3.038813,4.637540,5.889842,3.026358,4.627821,1.273992,75.251515
240,6.714583,24.479861,15.445541,0.468750,0.468750,5.876592,3.109517,4.604204,5.879592,3.091673,4.593273,1.197395,6.366667
500,7.195000,19.903000,16.597542,0.488281,0.488281,6.160875,3.109469,4.881985,6.234496,3.217273,4.920838,1.144948,7.139333
800,6.258750,22.395417,19.929625,0.390625,0.390625,5.900521,2.824006,4.762373,5.897900,2.899110,4.799533,1.476948,40.937500
1024,7.141113,19.782064,17.105875,0.500000,0.500000,6.469600,3.141513,5.170810,6.234212,3.240704,5.106994,1.201812,7.975260
1500,6.759222,26.551000,20.952709,0.366211,0.732422,6.600835,3.196223,5.113485,8.309900,4.319363,5.631910,1.583260,37.231556
2048,7.364909,21.464030,18.042459,0.500000,0.500000,6.652896,3.459194,5.307519,6.579554,3.657287,5.250625,1.240915,10.247070
3000,7.428222,33.972167,22.008708,0.366211,0.732422,6.689054,3.291260,5.195969,7.287196,4.663702,5.892202,1.590583,34.379778
6000,7.479194,37.102972,22.860250,0.366211,0.732422,6.981469,3.412904,5.182110,7.722258,4.750504,6.137794,1.601867,36.238444
8192,9.703735,29.953003,22.752000,0.500000,0.500000,7.912540,3.818994,5.438956,7.426881,4.153315,5.933583,1.393855,17.617106
12000,9.176486,46.044542,25.150250,0.366211,0.732422,7.678925,3.780948,6.743837,9.071813,8.296710,9.960679,1.651790,45.193250
16384,10.407349,38.108816,19.989250,0.500000,0.500000,13.016425,6.236394,15.828779,13.173967,6.213394,15.355106,1.573996,16.176025
25000,10.377500,48.130000,24.439000,0.381470,0.381470,13.852042,5.422892,13.587317,12.726135,6.070027,15.664079,3.406825,48.586107
32768,12.946030,38.814763,20.976000,0.500000,0.500000,18.121065,10.388883,20.572121,15.665181,8.077235,20.328698,4.213105,20.305644
45000,11.171611,51.257719,23.621667,0.343323,0.686646,15.951456,6.166329,18.874577,24.868204,15.918275,25.183869,5.440562,42.812652
60000,13.113431,41.620372,28.955500,0.457764,0.457764,16.652731,11.192592,22.512912,18.032948,11.668490,21.341387,4.789735,19.962033
100000,12.637227,47.715973,26.167041,0.381470,0.381470,17.770144,11.303810,22.530367,17.984740,12.330983,21.969183,4.545954,43.281390
150000,13.914349,61.486944,30.325750,0.286102,0.572205,17.594177,10.250544,21.248290,23.369929,19.436263,28.448292,5.143939,44.071669
200000,15.437222,50.783957,37.514167,0.381470,0.381470,19.781140,15.284712,23.853892,19.061512,13.376879,24.403494,5.110094,64.602638
300000,20.029583,80.671158,48.821041,0.286102,0.572205,27.695646,17.584110,30.836027,25.404675,20.897702,30.087435,5.672550,60.442361
400000,23.017396,61.451424,53.333417,0.381470,0.381470,31.184692,20.595713,35.672675,30.849844,21.125846,35.949202,5.140310,71.597917
600000,24.309028,72.952476,55.940000,0.286102,0.572205,35.433406,21.876106,40.469990,38.395390,29.881852,44.457558,5.594114,63.638913
800000,26.232049,65.505903,63.480651,0.381470,0.381470,37.429319,25.307867,47.473681,38.469504,24.684461,43.036996,5.409948,91.289409
1200000,29.420990,80.036372,60.231354,0.286102,0.572205,37.582044,23.042750,42.686108,44.067840,33.009050,51.775002,5.622429,65.877373
2200000,27.431364,86.502784,60.010663,0.262260,0.524521,37.530496,22.842529,43.242965,44.764454,32.604213,51.026515,5.736998,66.068832
3100000,29.260040,73.021257,68.035376,0.369549,0.739098,43.166581,30.611488,46.595225,60.765602,53.685027,93.933919,5.663792,66.553598
6000000,34.654222,79.355924,74.399882,0.357628,0.715256,42.145719,26.994479,47.423204,63.148854,50.138223,89.758815,5.534748,76.028593
10000000,33.990583,89.131673,66.139456,0.298023,0.596046,41.397292,25.424512,45.052469,50.091279,37.834146,60.776977,6.298827,69.520822
