element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,10.416667,19.968750,15.582042,1.000000,1.000000,1.923052,1.665612,1.822936,1.924875,1.631027,1.812267,1.358608,10.406250
110,11.995455,22.854545,22.539791,0.973451,0.973451,2.005190,2.742223,2.460329,2.001310,2.743585,2.449452,1.694813,11.996970
240,12.354167,19.356944,22.740250,0.995851,0.995851,2.090383,2.611537,2.296660,2.086298,2.725631,2.305792,1.750067,12.498611
500,11.681000,18.764000,22.522750,0.994036,0.994036,1.963175,2.500104,2.216052,1.949315,2.369829,2.201075,1.789131,12.778000
800,14.540208,22.075000,24.654292,0.988875,0.988875,2.002233,2.483469,2.252329,2.005185,2.432319,2.192954,1.798123,15.278333
1024,11.827311,19.917806,16.368208,1.000000,1.000000,1.810044,1.784667,2.070108,1.808210,1.797273,2.059390,1.802964,12.396810
1500,13.453778,19.083333,25.842500,0.992720,0.992720,1.982796,2.357208,2.259573,1.995173,2.352831,2.222165,1.806358,14.722222
2048,12.291829,20.385661,18.240667,1.000000,1.000000,1.821502,1.833973,2.158440,1.816377,1.843242,2.101783,1.809466,12.790365
3000,14.553222,20.020778,32.876833,0.999667,0.999667,2.163004,2.806404,2.567235,2.201079,2.902969,2.565158,1.811716,15.495444
6000,16.771944,23.612306,42.026000,0.998835,0.998835,3.225100,4.133633,3.438729,3.475196,4.079240,3.446235,2.600936,17.150444
8192,14.264404,26.986043,26.973250,1.000000,1.000000,3.296008,3.268635,3.061183,3.006950,2.997621,2.940352,2.814086,14.934937
12000,18.172458,26.086236,49.220250,0.999417,0.999417,4.823748,5.253206,4.129660,4.009121,4.898254,4.114454,3.206657,20.024306
16384,15.597015,31.624268,36.741083,1.000000,1.000000,4.078900,3.499804,3.256760,4.016750,3.456477,3.169148,3.216772,16.337077
25000,19.351393,29.786647,81.635417,0.999480,0.999480,6.168108,9.908637,13.905217,5.310462,9.251538,13.737075,3.561352,19.766653
32768,16.785095,33.942754,55.679500,1.000000,1.000000,6.510235,4.855442,9.011604,5.720233,4.730052,8.706327,3.528818,17.509043
45000,20.168981,31.346137,110.770167,0.999844,0.999844,7.212235,12.118775,15.153569,7.013619,11.299083,11.943669,3.722445,20.613274
60000,20.083333,35.432753,103.826834,0.999783,0.999783,8.326252,12.662731,15.967560,7.751906,11.771348,14.009321,3.773698,20.751850
100000,21.078057,32.620973,163.340959,0.999970,0.999970,9.250921,13.616952,17.459010,9.186215,13.550779,17.161513,3.858333,21.075970
150000,21.438702,36.109907,279.464625,0.999993,0.999993,10.236906,14.755694,18.787517,10.169558,14.680050,18.253504,4.083369,21.895187
200000,21.988265,35.539932,325.493125,0.999985,0.999985,10.605638,15.353956,18.497410,10.546810,15.109613,18.945227,4.258902,22.024167
300000,22.967594,38.721157,524.116666,0.999977,0.999977,11.038490,15.663427,19.381379,11.005398,15.623844,19.377683,4.447709,23.063658
400000,26.055069,41.586355,173.031542,0.999978,0.999978,11.345277,16.664560,20.358040,11.519702,16.148881,20.128454,4.557233,24.533091
600000,30.408311,50.887500,161.407952,0.999982,0.999982,16.912838,22.236869,28.049858,17.409123,22.772696,28.502588,4.880976,32.423194
800000,38.023125,53.975747,156.404401,0.999986,0.999986,21.472360,28.534171,36.546342,21.349902,27.382900,34.356327,6.693096,37.798976
1200000,48.684375,88.900677,162.023976,0.999994,0.999994,26.670392,35.712433,44.281762,26.771273,36.366204,47.008715,8.700192,53.698553
2200000,64.625445,133.794621,173.200758,0.999994,0.999994,32.161417,43.763477,53.513004,31.511510,57.367575,61.073296,14.305523,73.057374
3100000,73.855975,129.671996,177.246546,0.999998,0.999998,33.913494,47.755894,58.704929,32.958879,46.667852,57.851210,16.980367,75.011339
6000000,82.287045,160.233226,184.674639,0.999998,0.999998,35.211390,49.704792,62.895540,34.584175,50.538881,60.616929,18.805705,82.909377
10000000,86.457263,189.693998,229.649510,0.999998,0.999998,35.280940,51.183923,62.499900,35.208698,50.993869,62.583737,19.679806,87.290021
