element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.031250,32.557292,47.526875,1.000000,1.000000,8.993183,4.670183,6.765788,9.000962,4.710510,6.759781,1.448600,22.562500
110,28.724242,34.531818,53.230250,0.973451,0.973451,10.120104,6.097198,8.098937,10.112115,6.083371,8.094431,1.813894,32.069697
240,29.717361,34.981944,53.129333,0.995851,0.995851,10.791958,5.691054,7.916277,10.284292,5.684648,7.911315,2.089050,65.973611
500,31.347667,35.791667,57.737917,0.994036,0.994036,9.981700,5.893062,7.966904,10.054538,5.893696,7.903194,1.885856,49.416667
800,31.918125,38.827708,60.653958,0.988875,0.988875,12.187019,6.644225,9.639892,12.252983,6.823275,9.535910,1.882467,36.232500
1024,31.270508,37.021322,53.567000,1.000000,1.000000,12.012533,6.549135,9.285483,12.176002,6.600427,9.378137,4.048547,31.033203
1500,35.944333,41.370333,67.809625,0.992720,0.992720,14.369908,8.891404,11.845090,14.626604,9.272912,11.762723,5.924202,38.296444
2048,33.562500,42.260091,60.503792,1.000000,1.000000,14.852758,8.885394,10.769623,14.464744,9.291071,10.874190,5.695479,38.926921
3000,36.340167,44.210611,77.864375,0.999667,0.999667,17.746287,11.871931,14.896892,17.911750,11.836123,14.836156,6.434182,53.347111
6000,39.002306,50.681722,97.979792,0.998835,0.998835,19.411771,12.932035,16.682442,19.390037,12.728590,18.284635,6.639343,45.747722
8192,39.177795,57.659587,100.598417,1.000000,1.000000,18.543163,11.958204,15.280527,18.521279,11.990665,15.295735,6.629496,45.742391
12000,43.265056,56.055556,126.362709,0.999417,0.999417,20.424612,12.768931,30.817225,25.831281,12.791806,29.639725,6.873048,53.572917
16384,42.223206,59.658061,129.464208,1.000000,1.000000,27.757331,16.332581,27.045321,25.458113,16.377312,25.354115,6.387601,47.288656
25000,45.635007,58.460833,183.281875,0.999480,0.999480,32.833121,26.187810,38.865956,33.378727,26.854300,37.828540,6.282692,49.981107
32768,43.076625,62.299306,203.965459,1.000000,1.000000,30.413333,23.927075,35.288110,30.301481,23.321725,34.014306,5.950711,48.290690
45000,47.308489,60.939507,275.931458,0.999844,0.999844,35.075823,29.920721,41.246258,35.018421,30.008606,40.303783,4.452624,50.049689
60000,49.119328,68.653006,308.778500,0.999783,0.999783,35.853160,31.250015,41.433898,36.937725,32.145992,42.397252,7.437828,60.868289
100000,63.840970,68.428053,385.319333,0.999970,0.999970,35.217785,33.642187,42.905294,34.910231,33.865831,43.594173,4.631113,51.761250
150000,53.470927,70.836482,310.962917,0.999993,0.999993,39.839060,34.655088,48.900285,46.226912,35.098263,49.388071,5.358990,67.893609
200000,58.172570,74.134028,253.708292,0.999985,0.999985,49.854700,40.239956,54.090504,58.647060,41.778975,49.866896,4.970219,66.649238
300000,61.589398,82.273567,343.247125,0.999977,0.999977,71.306800,51.859298,68.441319,70.825173,52.986450,68.579858,5.758879,75.907452
400000,67.133021,83.714132,319.097084,0.999978,0.999978,92.463275,59.606029,75.159177,81.974587,60.135671,76.084090,6.077515,79.680417
600000,76.957152,108.127824,316.684375,0.999982,0.999982,109.145346,70.961350,89.996525,108.790531,67.524979,83.296594,10.145782,81.262245
800000,83.263264,112.680712,316.698828,0.999986,0.999986,120.347487,82.148135,99.085754,119.214190,79.917048,102.216144,15.996013,98.695903
1200000,96.634341,154.328611,363.619601,0.999994,0.999994,130.957910,83.629560,109.658685,136.833450,85.711581,108.305806,18.611485,104.301597
2200000,114.010966,205.376117,395.565331,0.999994,0.999994,149.112515,94.829321,120.561196,147.693575,94.755492,118.636202,24.905794,121.380101
3100000,125.955766,202.239698,407.966284,0.999998,0.999998,160.590542,108.867812,132.193994,163.368400,104.384652,130.665077,27.193917,146.824243
6000000,145.317896,238.038347,419.298184,0.999998,0.999998,159.960125,102.662473,126.535375,160.188017,105.455660,122.674075,41.442833,143.964359
10000000,140.003096,258.735769,426.799515,0.999998,0.999998,168.403952,110.165621,136.009592,168.294346,112.920719,134.935694,31.210040,153.176582
