element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,14.541667,19.968750,16.566000,1.000000,1.000000,3.044283,1.586721,2.499685,3.037915,1.587173,2.510162,1.403437,11.718750
110,12.307576,29.607576,23.631917,0.973451,0.973451,2.100323,2.657140,2.275017,2.095752,2.656054,2.268481,1.713196,12.878788
240,12.413889,20.920833,23.911958,0.995851,0.995851,2.050596,2.637729,2.364148,2.062958,2.601219,2.342735,1.768875,12.384722
500,11.930333,19.583667,24.157750,0.994036,0.994036,2.043194,2.580923,2.302452,2.041694,2.615208,2.305352,1.801108,12.083333
800,15.451667,22.465208,24.779917,0.988875,0.988875,1.979283,2.503152,2.251958,1.984029,2.500892,2.261321,1.815348,14.444583
1024,10.674154,20.697917,17.232541,1.000000,1.000000,1.667192,1.610944,1.922935,1.666523,1.611646,1.907987,1.823392,10.239909
1500,13.245556,20.509222,26.601000,0.992720,0.992720,1.952396,2.571537,2.291483,1.921140,2.546775,2.284529,1.825600,13.342667
2048,10.175863,23.108643,18.872542,1.000000,1.000000,1.900658,1.634213,1.901369,1.909023,1.634960,1.903638,1.829932,10.606445
3000,15.171278,21.631944,33.599291,0.999667,0.999667,2.240115,2.939852,2.699627,2.287883,2.961044,2.689373,1.828777,15.513889
6000,16.799750,24.438611,42.268208,0.998835,0.998835,4.018021,4.146863,3.561675,3.348456,4.062552,3.490375,2.632917,16.673611
8192,18.129985,28.098246,27.088125,1.000000,1.000000,3.853492,2.932921,3.302029,3.542131,3.136202,3.132156,3.903288,18.680094
12000,18.648153,27.371514,50.147500,0.999417,0.999417,4.041271,5.081633,4.025363,5.295158,4.847108,3.982104,3.195940,18.687500
16384,27.341197,33.718526,37.465792,1.000000,1.000000,12.127102,3.709769,5.102577,11.249583,3.794283,4.989965,5.496659,27.715027
25000,19.856667,29.726120,81.368167,0.999480,0.999480,8.444981,10.459004,6.019483,7.281537,10.130221,6.000152,3.552748,19.960000
32768,19.760137,34.936488,55.547125,1.000000,1.000000,9.096848,7.897244,11.352515,9.081140,8.033275,11.122308,4.713574,20.353963
45000,20.301704,32.177470,110.336584,0.999844,0.999844,8.541350,11.721617,11.893071,8.249527,11.226144,10.177642,3.700589,20.366044
60000,20.442594,36.979397,103.640375,0.999783,0.999783,8.664135,12.118425,12.931810,8.481025,11.793527,11.942390,3.755959,20.267589
100000,20.983473,33.943193,162.848917,0.999970,0.999970,9.740950,13.446894,15.876146,9.651700,13.454285,15.484787,3.850681,21.165693
150000,21.446667,37.373331,278.361625,0.999993,0.999993,10.618785,14.795050,17.591181,10.521967,14.747165,17.442227,4.064820,21.353889
200000,22.074930,36.801248,328.172083,0.999985,0.999985,11.074215,15.487592,18.566702,11.051963,15.560483,18.483494,4.261344,21.806597
300000,22.746898,39.465184,507.505500,0.999977,0.999977,11.391192,16.068787,19.508987,11.360862,16.068946,19.299065,4.452834,22.863333
400000,23.465937,44.232847,161.677208,0.999978,0.999978,11.659285,16.429337,19.717352,11.528494,16.483994,20.059967,4.767319,24.881146
600000,25.533310,44.040347,142.393993,0.999982,0.999982,14.760763,19.626683,24.447646,14.994258,19.468621,24.949090,4.734720,27.364167
800000,30.794323,46.407049,142.892734,0.999986,0.999986,19.097217,25.065656,31.371208,19.178429,25.164000,30.845867,5.301138,30.992812
1200000,40.949253,84.365104,165.187882,0.999994,0.999994,26.249852,36.030467,40.273400,24.809763,34.809373,45.958779,10.564493,43.453252
2200000,65.130757,136.083580,167.411544,0.999994,0.999994,30.427183,42.368460,50.858456,30.104327,42.488192,51.175365,13.917973,58.247329
3100000,66.318952,118.979456,174.885417,0.999998,0.999998,31.893944,45.376385,55.331298,32.093302,46.128077,56.716400,16.158712,67.316658
6000000,76.537493,151.680844,180.898517,0.999998,0.999998,33.721817,49.330371,60.738058,33.673037,49.262375,59.720017,18.515908,78.343720
10000000,83.471331,180.902102,228.033585,0.999998,0.999998,34.529198,50.713694,62.850415,34.431431,50.883485,62.781033,19.528242,83.507590
