element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,14.322917,24.302083,22.602000,1.000000,1.000000,8.761360,3.649017,5.916077,8.736633,3.653929,5.916229,1.358144,13.468750
110,17.300000,29.103030,32.898750,0.973451,0.973451,11.647279,4.618406,7.451150,11.658052,4.619090,7.413898,1.691349,15.536364
240,17.014583,26.215278,33.344500,0.995851,0.995851,11.391019,4.494752,7.098275,11.437473,4.465858,7.021765,1.748274,20.254167
500,20.056000,28.542000,35.180709,0.994036,0.994036,12.552410,4.334431,6.990883,12.652083,4.326898,6.872727,1.799242,23.055333
800,20.173542,30.087083,34.595042,0.988875,0.988875,12.750585,4.326025,6.781242,12.815256,4.322856,6.753063,1.794363,18.784167
1024,17.673177,28.577962,24.572375,1.000000,1.000000,10.957081,3.185929,5.572004,11.043352,3.148431,5.538427,1.803206,17.605469
1500,19.212889,26.722222,36.156500,0.992720,0.992720,13.571919,4.529463,7.203254,13.789379,4.598788,7.285542,1.803883,19.740667
2048,20.348389,29.374837,28.123208,1.000000,1.000000,12.444873,4.363452,6.505279,12.665092,4.343200,6.494010,1.807714,20.521159
3000,20.921278,29.421278,51.273500,0.999667,0.999667,16.899687,6.803310,9.626948,17.080756,6.782181,8.991398,2.365940,21.824000
6000,21.932889,32.256917,60.279875,0.998835,0.998835,19.522202,7.913200,10.548865,20.200217,7.744892,10.418702,3.413501,23.437500
8192,21.430969,37.712118,41.813666,1.000000,1.000000,18.032463,6.317169,10.011967,18.297210,6.261869,9.830340,3.520844,22.554199
12000,24.381958,36.057875,65.312625,0.999417,0.999417,20.781250,10.352554,12.699442,21.222831,9.917767,12.559788,3.622011,23.719917
16384,22.844950,39.543579,58.577042,1.000000,1.000000,19.392444,6.770523,12.081160,19.441590,6.669240,11.802371,3.609287,23.763855
25000,26.289707,37.609993,90.484125,0.999480,0.999480,21.767023,14.591738,18.846208,21.733390,14.275898,18.923027,3.915323,25.860547
32768,23.886566,41.384588,86.582416,1.000000,1.000000,20.122806,8.605148,15.990290,20.087296,8.660985,15.446358,3.982756,23.924082
45000,27.039819,39.729315,157.364291,0.999844,0.999844,22.293946,17.337752,21.834773,22.334510,17.189610,21.827121,4.082118,27.010489
60000,27.193050,44.460767,189.151334,0.999783,0.999783,22.976573,19.603381,24.120875,22.943808,18.655687,24.012937,4.044550,26.899306
100000,27.706943,41.405413,241.133791,0.999970,0.999970,24.584156,20.689104,26.647385,24.280581,20.661217,26.692017,4.293831,27.113470
150000,28.433702,46.081111,382.818042,0.999993,0.999993,24.918706,22.248215,28.160067,25.152454,22.091515,28.510302,4.523014,28.277780
200000,29.468193,43.457570,496.561084,0.999985,0.999985,25.196869,22.561598,28.864448,25.003204,22.577773,28.731423,4.639381,28.412222
300000,32.444491,52.220463,203.324667,0.999977,0.999977,26.158273,23.546633,30.137265,26.189425,23.594677,29.874190,4.783483,34.412638
400000,34.484132,51.328334,192.762333,0.999978,0.999978,31.656600,26.435627,34.822994,32.213502,26.213108,34.270860,4.957490,34.920486
600000,40.883309,68.206180,184.880625,0.999982,0.999982,56.596425,35.147994,48.156312,56.918394,35.711212,49.389983,6.560453,41.456944
800000,48.304444,68.772656,198.875756,0.999986,0.999986,72.039085,42.321619,57.888948,73.076444,42.537692,56.325452,8.351177,48.845920
1200000,58.324826,105.934444,212.444531,0.999994,0.999994,91.078979,50.759863,67.164890,91.243462,51.229558,66.494294,11.592167,62.192534
2200000,78.240710,153.572339,234.930493,0.999994,0.999994,110.516975,59.701752,78.277627,110.159979,59.827644,78.688356,18.282574,73.454293
3100000,81.089214,146.222487,245.699281,0.999998,0.999998,116.943194,62.790067,82.689952,117.431517,63.700052,82.152821,24.015401,88.585090
6000000,97.184809,172.723573,258.267208,0.999998,0.999998,129.628819,72.162965,91.410490,130.219269,71.715760,91.043231,22.724573,101.175512
10000000,104.507342,211.582527,264.664269,0.999998,0.999998,127.864808,68.300104,87.067052,127.767698,68.209002,87.317725,33.698538,96.039653
