element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,15.630208,26.468750,28.301250,1.000000,1.000000,7.861358,4.620556,5.807390,7.819217,4.580298,5.792881,1.383179,12.145833
110,13.510606,23.106061,36.538750,0.973451,0.973451,8.133710,5.369013,6.682475,8.117862,5.353329,6.685971,1.692180,12.627273
240,15.220139,21.179861,36.217917,0.995851,0.995851,7.977610,5.636960,6.473952,7.952813,5.638150,6.501794,1.781969,12.500000
500,15.916667,26.542333,37.694000,0.994036,0.994036,8.112704,5.501719,6.711767,8.113896,5.508744,6.728573,1.815617,15.111333
800,17.413333,25.555625,37.488708,0.988875,0.988875,8.142244,5.594725,6.742152,8.053327,5.493892,6.750640,1.823125,15.798750
1024,16.574382,25.126139,30.164292,1.000000,1.000000,7.153571,4.809163,5.926365,7.127846,4.782131,5.913660,1.835338,15.774089
1500,19.337889,25.231444,44.304125,0.992720,0.992720,8.334144,5.623985,6.779577,8.211427,5.610675,6.776817,1.810609,19.768222
2048,20.521403,27.150553,34.997292,1.000000,1.000000,8.167854,4.978896,6.345115,8.078502,4.970873,6.431385,1.825144,18.982096
3000,22.539278,25.662056,56.102167,0.999667,0.999667,11.293785,6.849827,8.303342,11.180833,6.604617,8.353377,2.364307,24.310111
6000,22.042806,29.974583,65.619333,0.998835,0.998835,16.612054,8.607054,10.084265,18.409215,10.207027,10.296967,3.352902,26.641222
8192,21.319906,35.226583,44.402542,1.000000,1.000000,18.052600,7.552473,11.562615,16.337346,7.483865,11.368817,3.431305,24.592082
12000,24.219319,35.534736,70.404709,0.999417,0.999417,19.083833,18.477327,12.074071,26.459679,12.680392,20.477977,3.599845,27.526611
16384,24.341583,40.175537,54.368625,1.000000,1.000000,28.104350,12.289483,20.641233,25.370625,12.276165,21.502427,3.717965,27.908305
25000,25.963887,39.163053,98.027250,0.999480,0.999480,30.753963,18.832623,29.323992,30.649806,18.799433,29.277646,3.782967,27.760000
32768,25.499771,42.466059,96.500125,1.000000,1.000000,29.872960,16.402798,25.118558,28.046525,16.462800,25.009363,3.830347,26.143382
45000,27.599070,40.434256,166.761625,0.999844,0.999844,32.736083,20.757015,30.122335,31.983667,20.832104,30.049206,3.891011,28.384563
60000,28.009258,45.797114,198.604875,0.999783,0.999783,33.830083,22.103975,32.002908,33.369942,22.199315,31.658033,3.928318,29.085878
100000,30.108473,43.378613,249.796750,0.999970,0.999970,36.398173,24.165929,34.571492,35.988123,24.478667,35.109071,4.138969,30.146110
150000,30.965647,46.567687,411.484166,0.999993,0.999993,38.243827,26.001831,35.780817,38.322888,27.608206,36.341583,4.436366,30.372404
200000,31.595903,44.801180,490.954833,0.999985,0.999985,37.541481,26.689946,35.454902,37.638758,26.435690,36.139229,4.525469,30.892360
300000,33.998797,51.941712,216.202458,0.999977,0.999977,39.252752,27.320908,37.399735,39.309315,27.678748,37.389933,4.660914,35.040279
400000,36.696667,52.570833,201.525542,0.999978,0.999978,48.286002,31.871731,42.464340,46.366969,31.087494,42.347929,5.001502,37.636979
600000,42.938658,71.794561,196.095521,0.999982,0.999982,81.570321,42.956800,58.180638,74.589908,43.223290,57.394546,10.061522,46.940533
800000,50.633229,71.768125,201.666250,0.999986,0.999986,87.533300,46.873904,63.263623,90.699646,46.315365,63.048123,8.519619,50.286823
1200000,60.936858,111.686650,217.416007,0.999994,0.999994,109.905544,57.023548,75.752825,109.230519,56.740558,75.309190,11.944538,60.542905
2200000,75.880218,155.284602,240.582983,0.999994,0.999994,132.643483,67.367065,89.076171,132.867700,66.692567,88.802254,16.984447,77.225612
3100000,84.470813,151.974073,245.673091,0.999998,0.999998,141.830542,70.893350,92.218321,142.795075,68.998212,90.451156,17.951715,84.446532
6000000,92.030174,174.888719,255.170795,0.999998,0.999998,152.186390,71.876594,94.915577,152.252302,73.612446,96.598987,19.196052,92.914252
10000000,96.544102,201.149198,261.727902,0.999998,0.999998,158.760394,75.477363,96.727683,162.801506,76.298531,98.306054,20.151756,100.571193
