element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,4.119792,18.656250,6.198875,0.500000,0.500000,1.195677,1.177344,1.245358,1.199929,1.178485,1.244223,1.381133,4.770833
110,4.734848,18.246970,11.564250,0.429688,0.859375,1.287142,1.233692,1.281573,2.159744,2.176081,2.068812,1.627068,19.442424
240,4.515278,15.017361,12.969667,0.468750,0.468750,1.271835,1.207442,1.311481,1.273585,1.221165,1.293133,1.498086,4.801389
500,4.513667,14.138667,13.616292,0.488281,0.488281,1.223194,1.182915,1.332535,1.245831,1.239294,1.341167,1.386729,4.860667
800,4.478958,16.805417,10.320250,0.390625,0.781250,1.193725,1.137258,1.291877,1.981262,1.866331,1.915840,1.728617,17.968750
1024,4.740723,14.024414,6.563291,0.500000,0.500000,1.241202,1.238158,1.387002,1.226148,1.285877,1.392554,1.393707,5.303060
1500,4.597222,18.800889,9.811250,0.366211,0.732422,1.164733,1.036502,1.273392,1.784554,1.706452,1.740046,1.755660,18.935111
2048,5.015137,15.306234,8.918458,0.500000,0.500000,1.307648,1.307229,1.421856,1.213054,1.298869,1.393483,1.374153,5.100098
3000,4.784722,40.129667,10.874500,0.366211,0.732422,1.442927,1.431827,1.451148,2.035979,2.044710,2.120581,1.756566,20.620444
6000,5.378472,33.268556,11.468292,0.366211,0.732422,1.366402,1.289752,1.419004,2.141877,2.042848,2.061923,1.803458,24.865833
8192,6.224731,27.827759,8.036417,0.500000,0.500000,1.495469,1.530394,1.726337,1.499723,1.512979,1.683252,1.445401,6.996948
12000,5.537056,31.488431,11.672791,0.366211,0.732422,1.351760,1.361004,1.696683,2.997660,2.151042,2.150938,2.776066,26.160861
16384,6.534576,26.034037,8.333209,0.500000,0.500000,1.547594,1.518292,2.835158,1.541940,1.535558,2.465746,1.931076,8.556783
25000,6.278327,34.674167,12.664125,0.381470,0.762939,1.473152,2.041769,3.728931,7.493387,5.817779,5.254315,4.612898,29.496667
32768,7.455816,32.824829,9.009666,0.500000,0.500000,2.409017,2.607906,5.506406,2.469300,1.619046,2.808712,3.924712,9.452393
45000,6.712344,37.709574,11.750834,0.343323,0.686646,1.583586,2.439035,5.775756,9.111504,7.438635,8.147385,5.218371,30.677474
60000,7.996758,32.958914,16.491709,0.457764,0.457764,3.509319,4.261173,6.594915,3.527154,4.173775,7.005381,5.087095,11.409022
100000,7.863747,37.222640,13.603750,0.381470,0.762939,3.395140,4.340896,7.163450,11.904037,10.769315,12.215027,6.353465,32.003190
150000,7.945093,51.872500,10.955208,0.286102,0.572205,3.090471,4.140371,7.796190,8.547898,9.418029,12.018346,7.332647,38.481669
200000,9.484515,42.315763,14.160417,0.381470,0.762939,4.823244,5.849956,9.219067,13.974423,13.436225,15.267031,6.935210,35.047430
300000,13.970000,55.596852,18.308375,0.286102,0.572205,5.292948,6.277115,10.319444,8.553363,9.990554,13.340158,7.735164,44.001296
400000,15.076355,46.509827,23.870250,0.381470,0.762939,6.715758,8.837015,12.516446,14.217921,15.623396,16.704944,6.976402,45.420417
600000,18.401805,56.555949,25.394341,0.286102,0.572205,8.190042,9.180696,13.436198,10.944481,13.558604,19.322427,7.670280,47.385694
800000,19.768507,48.033715,29.956484,0.381470,0.762939,9.355465,11.223760,15.604981,21.155456,21.502150,26.887194,7.270408,47.053611
1200000,20.996945,60.302708,28.883507,0.286102,0.572205,9.500540,10.729481,14.521113,13.604540,16.789090,28.203333,8.173152,49.706620
2200000,22.063826,66.472548,30.050966,0.262260,0.524521,9.767123,10.736965,14.442831,13.524250,16.420290,23.571294,8.269309,51.952601
3100000,23.486841,55.155961,34.037802,0.369549,0.739098,10.917292,12.738046,16.722317,27.938292,29.443704,64.723500,7.484593,49.917204
6000000,23.505493,56.351517,34.108264,0.357628,0.715256,11.214410,12.599565,17.106217,26.767544,29.487865,74.687127,7.688014,50.714252
10000000,23.554919,61.621250,32.803562,0.298023,0.596046,10.331183,11.446344,15.655831,17.236375,19.781300,45.379744,7.891465,49.535018
