element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,6.296875,21.921875,13.021334,0.500000,0.500000,8.673333,2.699596,4.903215,8.739483,2.658765,4.897608,1.414915,11.281250
110,7.198485,23.293939,20.501916,0.429688,0.859375,8.601873,2.730185,5.095912,9.684667,4.750265,7.502519,1.501337,24.618182
240,7.378472,19.068750,22.417750,0.468750,0.468750,8.367754,2.797279,5.082900,8.239115,2.792794,5.073029,1.391216,9.259722
500,8.069333,18.750000,23.314667,0.488281,0.488281,8.416644,2.781181,5.008492,8.496827,2.780594,5.025608,1.344146,8.750000
800,7.569583,20.720625,18.924375,0.390625,0.781250,8.510152,2.667817,5.085250,9.629831,4.308208,7.019435,1.682340,26.822917
1024,8.626465,19.504232,14.080208,0.500000,0.500000,8.570992,2.919133,5.441306,8.641431,2.933658,5.489496,1.410969,9.521484
1500,8.139222,25.328556,19.118750,0.366211,0.732422,9.792544,3.116956,5.469904,9.463142,4.039404,6.769375,1.724383,27.833333
2048,9.731689,22.847493,14.944250,0.500000,0.500000,10.467315,3.299562,6.288496,10.257775,3.409537,5.702158,1.396263,10.755697
3000,9.134278,34.643556,19.890209,0.366211,0.732422,10.928535,3.063927,5.919102,10.985954,4.593088,7.332450,1.757437,29.351778
6000,9.968722,38.091417,21.628416,0.366211,0.732422,11.811054,3.237231,6.022308,14.203060,4.969462,8.040496,1.770061,32.872722
8192,11.254171,33.259054,16.616166,0.500000,0.500000,12.790258,3.602367,6.566871,12.667062,3.542927,6.391275,1.443145,15.014648
12000,10.214694,39.441000,21.116500,0.366211,0.732422,11.851292,3.508769,6.946487,19.434410,5.304958,9.140315,3.093410,45.619222
16384,12.825022,36.456217,17.546125,0.500000,0.500000,14.349500,4.934465,11.676031,14.099921,5.834277,11.383877,2.037321,16.002238
25000,11.217500,44.057787,23.364084,0.381470,0.762939,12.734783,4.848604,10.217046,22.805985,10.349204,17.133079,4.958800,43.438333
32768,13.414378,38.727437,18.951750,0.500000,0.500000,14.965463,9.574314,14.474738,14.980073,9.941348,14.559088,3.817665,20.239085
45000,11.199533,50.058330,22.513334,0.343323,0.686646,12.981162,6.210238,14.340890,20.883550,14.037438,18.812542,5.580687,43.763881
60000,13.664700,42.139931,28.629750,0.457764,0.457764,15.074971,10.526071,17.749490,14.407906,10.688125,16.832981,5.177510,17.671294
100000,12.383610,43.149997,23.874250,0.381470,0.762939,13.501040,9.193212,17.983013,29.782060,26.313885,25.680800,6.866202,43.998890
150000,14.851113,57.160280,30.374166,0.286102,0.572205,12.938473,8.089508,18.274912,18.212740,15.248992,22.100533,7.704954,42.211851
200000,17.567778,50.614167,37.370000,0.381470,0.762939,15.165090,11.668556,20.422683,27.269581,22.710485,27.740027,7.007660,45.907917
300000,24.903797,68.012500,48.183791,0.286102,0.572205,27.925767,13.488887,29.781710,20.053108,17.315227,25.351542,7.748381,63.157684
400000,27.932640,64.808299,55.362583,0.381470,0.762939,30.417892,17.665621,33.388006,32.709550,26.864567,32.395454,6.976471,61.737361
600000,31.489144,72.612616,58.652257,0.286102,0.572205,37.132640,17.879023,47.161710,36.735204,26.647429,41.291298,7.673795,65.925439
800000,33.430764,66.182048,68.586406,0.381470,0.762939,38.628104,21.017219,50.679094,51.015535,44.078396,56.049325,7.377525,69.023802
1200000,35.333542,82.055156,68.199479,0.286102,0.572205,40.106527,19.043494,54.648423,48.704425,31.280444,51.184283,7.888932,71.923125
2200000,34.664394,87.353996,65.950426,0.262260,0.524521,41.439254,18.816779,56.684885,47.948077,30.754590,60.078227,7.771803,71.465556
3100000,36.463427,73.929798,70.758649,0.369549,0.739098,43.346787,22.744012,60.927031,70.020554,55.873383,92.846735,7.591294,72.391008
6000000,38.650177,80.775674,74.318083,0.357628,0.715256,47.011340,23.629744,65.199512,70.619940,53.345992,94.875113,7.942279,74.711630
10000000,42.042267,99.123410,78.017135,0.298023,0.596046,48.444183,22.737546,66.089292,63.957904,38.475708,78.383415,8.543046,77.280706
