element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,39.546875,87.390625,53.208154,0.507937,0.507937,21.336008,15.228340,17.657986,21.330992,15.227064,17.658056,5.349562,99.541667
110,36.336364,75.503030,53.049686,0.866142,0.866142,23.420737,20.546215,21.020279,23.571660,20.711628,20.630816,4.081659,64.309091
240,30.632639,76.144444,54.265201,0.469667,0.469667,21.447150,15.255810,24.580727,21.456367,14.354601,24.747454,9.406563,49.431944
500,29.857667,74.234000,58.111069,0.488759,0.488759,21.551548,15.203206,24.956360,21.522689,15.154896,24.949134,10.583927,42.530000
800,31.237917,58.918958,60.828161,0.782014,0.782014,23.282947,27.237271,26.303238,23.616646,25.459418,26.012507,5.856745,43.702917
1024,32.479329,75.884603,62.351945,0.500244,0.500244,21.980784,15.462265,25.711350,21.990943,15.368406,25.655606,11.187236,41.544922
1500,30.403000,58.861333,90.379317,0.732780,0.732780,23.901595,23.433261,29.033553,23.844229,24.399689,29.171058,6.856777,44.250444
2048,29.816406,70.893148,69.625027,0.500122,0.500122,23.210521,15.376275,27.095995,23.354415,15.785977,26.982151,11.155257,42.133301
3000,34.511944,63.390111,95.560312,0.732601,0.732601,24.883788,25.350267,32.566364,24.482072,24.499100,32.590448,6.989855,43.318333
6000,35.583361,63.302639,100.769040,0.732511,0.732511,25.993531,24.565042,35.476568,26.397694,26.126384,35.424161,6.920523,44.736000
8192,34.082743,73.250590,82.324194,0.500031,0.500031,27.010373,15.819276,31.292079,26.741328,15.685027,31.376528,11.031164,47.645996
12000,39.074569,62.823458,109.253186,0.732467,0.732467,28.151863,26.943376,37.821713,28.119127,27.290276,37.935585,6.902340,51.728694
16384,43.268992,92.933797,100.192920,0.500015,0.500015,38.172112,18.304623,36.179511,33.203662,18.103326,36.136227,11.237825,52.467285
25000,49.027613,77.910547,146.864624,0.762963,0.762963,38.479453,33.325422,48.961616,36.348011,33.235282,47.916396,6.442992,56.555787
32768,54.308777,109.192479,148.998872,0.500008,0.500008,63.419915,21.557755,58.203744,64.078353,21.273388,57.842393,11.327808,62.407033
45000,52.826378,93.016778,176.312662,0.686656,0.686656,65.989611,33.027693,62.974694,65.037573,34.377400,62.852408,7.821136,62.547985
60000,62.390767,127.694253,191.793001,0.457767,0.457767,81.132563,28.826668,68.838815,80.886641,29.352401,68.727906,12.081157,69.308117
100000,67.097300,107.680200,246.446743,0.762945,0.762945,83.892001,48.663869,79.642332,84.449385,48.825717,79.686692,6.444949,71.581620
150000,78.652678,130.394978,251.715708,0.572207,0.572207,94.348097,35.477924,78.900949,94.146935,35.694625,79.172524,10.011771,83.337140
200000,84.966100,116.392000,296.180822,0.762942,0.762942,97.117870,51.819707,86.644550,95.588363,51.132907,86.740054,6.380819,85.141035
300000,113.440373,151.080951,310.838670,0.572206,0.572206,118.121154,39.258939,94.369583,117.694358,38.578285,94.118187,9.997251,126.565173
400000,114.247817,135.754793,346.970483,0.762941,0.762941,120.550874,55.315146,102.869322,120.161051,55.436466,102.759353,6.430029,129.061689
600000,164.770069,178.507650,359.723975,0.572205,0.572205,141.976740,61.829289,117.185988,141.769492,61.177319,117.084396,9.911249,180.289417
800000,176.367546,178.771880,396.962286,0.762940,0.762940,143.935654,78.454689,126.443016,143.814608,78.031931,126.336404,6.507140,181.006465
1200000,241.666484,253.318494,401.680520,0.572205,0.572205,158.287692,79.664489,134.504679,157.329944,79.554651,134.534561,9.525625,255.417937
2200000,276.574913,311.451923,445.488219,0.524521,0.524521,173.523509,86.124697,151.333676,174.727479,86.059762,149.973106,9.946025,290.853435
3100000,268.819300,292.151131,486.100059,0.739098,0.739098,174.854731,106.250351,159.557122,175.734060,106.288111,159.598935,5.930788,281.084942
6000000,302.305535,332.809598,533.208891,0.715256,0.715256,199.070965,110.058723,176.938400,196.850301,109.987955,177.083662,5.517959,320.166425
10000000,353.404035,385.080817,551.502086,0.596047,0.596047,223.865320,100.387823,187.862051,223.911109,100.471596,187.988359,9.703568,370.595725
