element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,52.270833,98.088542,49.076656,0.507937,0.507937,16.152750,10.531932,13.431884,16.151004,10.531098,13.422426,6.056162,127.687500
110,49.375758,67.081818,48.698501,0.866142,0.866142,19.293544,21.630370,19.259454,19.307252,21.421347,19.228742,3.807794,59.703030
240,61.003472,100.095139,50.723440,0.469667,0.469667,27.938424,22.630622,23.459977,26.110324,22.925233,23.179791,4.514601,69.772222
500,61.513333,127.304000,52.843904,0.488759,0.488759,32.304320,29.437095,26.783412,30.497979,24.702263,26.766000,4.585639,65.524667
800,52.163958,81.120417,54.865386,0.782014,0.782014,30.030069,33.882648,31.244828,29.865672,32.416529,30.963781,3.762434,58.158750
1024,50.198730,103.154785,57.915340,0.500244,0.500244,23.578842,19.120625,25.794291,24.646540,21.791985,25.790675,5.530857,48.812500
1500,43.595111,67.527556,86.322105,0.732780,0.732780,21.351675,33.162253,30.899320,20.588356,31.932917,30.842282,4.917466,44.432667
2048,40.023926,81.811035,63.687434,0.500122,0.500122,18.974437,11.649350,22.232201,18.651365,11.768114,22.301924,6.561018,41.955729
3000,39.808500,54.160389,88.946237,0.732601,0.732601,19.099974,16.173594,25.311807,19.138503,17.017324,25.327478,7.121007,40.531889
6000,48.032306,58.862750,94.319088,0.732511,0.732511,20.996947,15.532436,27.225583,20.988799,16.171157,27.199274,8.113594,43.438056
8192,46.808085,66.141947,75.074140,0.500031,0.500031,22.526354,12.020419,26.819667,22.579759,12.026792,26.876007,8.651122,44.975749
12000,45.214944,56.770625,100.478699,0.732467,0.732467,23.025469,17.146947,29.727612,22.791792,16.629746,29.573122,7.786738,45.391111
16384,49.261078,79.733429,89.718759,0.500015,0.500015,31.292713,13.641452,30.640452,27.968737,13.761730,30.595453,10.347337,48.797363
25000,63.046920,72.899027,130.999993,0.762963,0.762963,32.668391,21.889859,37.980911,31.283893,21.794538,37.876564,6.785112,54.804133
32768,58.591436,103.168793,140.104668,0.500008,0.500008,53.284709,17.456300,48.265932,52.567837,17.669046,48.374970,10.769591,60.731049
45000,62.801096,89.474007,167.277303,0.686656,0.686656,54.212622,28.612501,53.375755,54.805506,28.450535,53.373720,7.902514,63.147089
60000,66.786881,122.740533,183.388132,0.457767,0.457767,63.155144,25.685475,56.008282,62.939516,25.241561,55.827391,11.717515,67.822117
100000,66.678753,103.901667,233.756072,0.762945,0.762945,66.315642,41.353846,64.511930,66.444131,40.375991,64.550661,6.413537,72.101123
150000,80.393262,128.276709,242.552570,0.572207,0.572207,72.507281,32.305806,63.170843,72.198014,31.683146,63.298876,10.078138,82.995240
200000,82.443102,111.917222,279.539627,0.762942,0.762942,74.385444,45.963819,71.570085,74.901995,46.156859,71.561133,6.455262,87.229720
300000,124.930192,145.010013,297.469410,0.572206,0.572206,90.768507,34.999230,75.401236,90.868759,34.578996,75.500011,10.257313,127.385772
400000,127.866308,132.856149,332.193556,0.762941,0.762941,93.078429,50.856118,83.813461,92.580952,50.079171,83.828109,6.632271,128.970378
600000,176.624807,178.842378,337.927572,0.572205,0.572205,107.294545,49.615675,92.197743,107.384679,49.676642,92.150185,10.215330,177.761611
800000,188.128095,176.627478,373.242823,0.762940,0.762940,109.619025,65.131293,99.995985,108.964044,63.816613,99.888727,6.715134,181.048743
1200000,253.986126,251.188876,374.657900,0.572205,0.572205,118.106734,62.679398,105.830435,118.447848,62.623474,105.531909,9.758194,255.023578
2200000,289.148646,307.739471,414.101570,0.524521,0.524521,131.894874,67.222621,119.672407,132.321004,67.120889,119.971587,10.085063,292.671674
3100000,281.913566,290.791922,452.507996,0.739098,0.739098,132.586393,84.142617,127.505840,132.460036,83.992676,128.105570,5.984788,282.559494
6000000,320.028526,331.978736,501.677444,0.715256,0.715256,155.644343,88.402529,144.631762,154.650193,88.432368,145.463986,5.507539,323.821213
10000000,373.758041,388.463853,525.065840,0.596047,0.596047,179.752384,77.984505,154.579364,179.042876,77.970293,154.821122,9.684589,371.791969
