element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,48.411458,83.906250,48.539529,0.507937,0.507937,16.253292,12.295593,13.642757,16.253419,12.289381,13.642781,5.648807,91.833333
110,43.237879,58.696970,47.574300,0.866142,0.866142,17.288574,17.137415,17.552732,18.155017,18.704215,17.503197,3.750290,47.924242
240,45.022222,74.588194,50.509171,0.469667,0.469667,16.345161,11.731702,21.158022,16.339320,11.314744,21.031553,10.664636,41.252778
500,37.938333,68.160667,52.192390,0.488759,0.488759,16.350192,11.871018,21.181309,16.534780,12.000211,21.196317,11.535301,42.296000
800,39.996250,58.507292,54.303387,0.782014,0.782014,18.171273,24.765711,22.815848,18.855675,24.619480,22.427115,5.890653,43.117083
1024,43.957520,70.596029,57.519338,0.500244,0.500244,17.667508,12.863743,22.096294,17.774461,12.443591,22.074273,8.253358,38.743164
1500,38.882667,56.051556,85.868317,0.732780,0.732780,18.559711,19.900112,24.678123,18.823393,20.576108,24.688274,7.225596,39.888889
2048,42.917562,72.333496,63.207907,0.500122,0.500122,19.491393,12.605268,23.201091,18.608606,13.142203,23.217525,11.420051,39.812826
3000,40.425944,55.391056,88.728634,0.732601,0.732601,19.763460,22.592932,28.304356,19.905227,22.804825,28.720893,5.889768,40.854000
6000,43.723806,61.378639,94.242045,0.732511,0.732511,22.202454,22.870333,31.315727,22.232258,22.630725,31.189373,6.674061,44.951722
8192,47.805684,70.669718,74.869883,0.500031,0.500031,22.792902,12.435273,27.103995,22.741074,12.567846,27.079651,11.294595,49.143148
12000,48.792500,59.776306,100.154670,0.732467,0.732467,24.236752,23.959579,34.182120,24.317817,23.798106,34.171470,6.865492,53.103444
16384,59.571513,89.855713,88.045355,0.500015,0.500015,27.923003,14.550686,30.932472,27.508960,14.897907,30.747449,11.347129,51.590983
25000,53.110673,77.111940,141.705977,0.762963,0.762963,32.630992,30.714127,43.991872,34.233006,30.555883,44.828076,6.295385,55.501547
32768,57.117396,106.497615,141.971863,0.500008,0.500008,52.875013,17.566811,48.149769,52.270966,18.468293,48.104727,11.360579,66.300456
45000,62.772089,92.994481,168.833947,0.686656,0.686656,54.432412,29.293500,54.172302,55.356554,29.872124,54.342474,7.741964,60.960289
60000,65.283564,125.886361,184.224073,0.457767,0.457767,63.161051,25.382309,55.868581,63.348750,24.954597,55.786548,12.083370,68.845350
100000,68.750640,103.992413,234.580138,0.762945,0.762945,66.113872,43.702950,66.275269,66.294505,44.383752,66.292871,6.403373,78.865220
150000,80.570140,128.417858,241.232790,0.572207,0.572207,72.460327,32.022949,63.446828,72.610666,31.798161,63.482022,10.103663,81.976816
200000,82.539583,111.850983,278.155796,0.762942,0.762942,74.464100,46.764567,71.782073,74.331874,46.949840,71.734491,6.422598,85.753387
300000,125.290500,144.541103,297.811552,0.572206,0.572206,90.384409,34.599914,75.120387,90.324477,34.707931,75.115814,9.963542,126.807422
400000,129.303348,136.390365,333.079351,0.762941,0.762941,92.956835,50.923582,84.752622,93.132408,50.733042,84.890309,6.373311,129.491981
600000,177.280594,177.541139,340.740295,0.572205,0.572205,107.476226,50.622801,92.270110,107.367256,50.326883,92.333477,9.811229,179.551501
800000,188.718743,178.092283,375.048445,0.762940,0.762940,109.717621,67.837672,102.492554,109.718036,67.733539,102.298180,6.476014,181.610601
1200000,252.683559,248.792388,379.599004,0.572205,0.572205,118.254601,63.220091,105.560463,118.211858,63.324606,106.033955,9.492164,255.349783
2200000,291.061077,307.811107,416.206868,0.524521,0.524521,131.315441,67.355865,119.718448,130.690220,67.289198,119.523549,9.931528,291.256079
3100000,280.355721,290.684056,516.742812,0.739098,0.739098,146.082829,90.789392,137.106981,147.265102,87.482764,130.293710,5.936470,292.941957
6000000,321.676183,332.316272,493.751199,0.715256,0.715256,153.687477,89.337291,144.724872,153.904478,89.208063,145.518249,5.491704,322.288901
10000000,370.852162,386.083992,517.825775,0.596047,0.596047,178.906783,78.327249,154.413933,179.431953,78.424412,154.719397,9.607682,371.381226
